time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
13113;30.99;10.82;48.92;0.113;-21.70;-21.87;0
13132;30.35;10.55;48.47;0.103;9.51;-28.68;0
13136;29.31;10.62;49.09;0.172;4.83;28.52;0
13155;20.88;7.62;34.93;0.098;20.12;-5.19;0
13159;34.75;21.50;68.68;0.187;10.76;32.60;0
13161;21.78;7.49;35.01;2.862;-21.53;-1.35;0
13181;31.63;11.20;51.86;0.122;22.30;-22.11;0
14144;31.01;10.98;50.80;0.135;16.83;-25.74;0
14164;22.70;7.72;36.22;0.861;-22.15;-4.19;0
14176;21.92;8.06;36.88;0.220;-11.67;18.00;0
14179;21.80;7.99;36.00;0.100;-0.94;21.68;0
14183;36.02;22.36;70.18;0.116;27.27;23.24;0
14241;30.41;10.54;48.26;0.248;-12.70;-26.71;0
14244;32.03;11.12;51.79;0.092;4.13;-31.64;0
14255;30.98;11.30;50.60;0.091;29.41;9.31;0
14259;30.91;11.18;50.70;0.116;10.11;29.00;0
14263;31.57;11.34;51.62;0.162;-24.82;18.89;0
14267;35.51;21.24;70.77;0.106;-25.25;-24.71;0
14314;20.07;7.34;33.53;0.098;-5.91;19.08;0
14331;30.24;10.71;49.04;0.113;-28.02;10.87;0
14343;23.10;8.08;37.36;0.597;-22.40;-5.24;0
14449;30.32;10.45;48.51;0.106;2.87;-30.02;0
14453;30.38;10.43;48.76;0.085;-9.37;-28.79;0
14456;30.59;10.96;50.45;0.107;29.31;8.13;0
14915;33.68;11.48;52.95;0.862;-33.03;-5.82;0
14927;31.58;11.15;51.09;0.095;21.22;23.20;0
14931;33.09;11.28;51.88;0.127;13.74;-29.84;0
14957;35.11;20.90;67.48;0.180;21.14;-27.51;0
14960;32.70;11.36;53.31;0.138;28.29;-15.81;0
14964;32.90;11.39;52.81;2.892;-31.73;-5.32;0
15243;32.69;11.29;51.26;0.186;-28.56;14.83;0
15254;20.04;12.54;39.70;0.099;13.15;15.01;0
15258;34.34;11.64;55.15;0.140;-5.86;-33.52;0
15277;32.20;11.21;51.55;0.207;31.19;5.02;0
15281;33.01;11.25;52.39;0.093;12.46;-30.42;0
15285;32.73;11.45;53.34;0.148;29.66;13.07;0
15719;20.10;12.40;39.46;0.129;19.94;1.12;0
15732;29.79;10.51;47.51;0.092;19.02;22.78;0
15735;31.00;10.38;50.09;0.146;-3.79;-30.45;0
15740;31.90;11.13;52.35;0.127;-14.20;28.29;0
15755;32.58;11.12;52.17;2.936;-32.05;-3.62;0
15760;23.39;7.81;37.05;0.114;-0.11;-23.24;0
15794;31.56;10.57;50.25;0.143;-25.23;-18.45;1
15798;30.50;10.72;49.65;0.099;-3.45;30.16;1
15801;31.67;10.61;49.82;0.200;1.34;-31.06;1
15823;20.07;7.02;32.06;0.170;19.75;-1.49;1
15827;38.28;22.59;75.58;0.280;-19.65;-31.66;1
15830;34.62;20.41;67.42;0.135;-29.02;-18.38;1
16245;32.22;11.52;54.20;0.235;-15.38;27.39;1
16267;30.41;10.74;49.74;0.104;26.30;14.96;1
16269;30.51;10.70;48.09;0.099;30.36;0.68;1
16290;21.85;7.63;35.23;0.182;21.51;-0.73;1
16294;33.07;11.47;53.45;0.133;-12.64;30.27;1
16298;33.39;11.65;52.55;0.317;18.13;-26.26;1
16764;31.23;11.23;50.57;0.133;29.35;9.93;1
16780;21.51;7.51;34.93;0.090;5.34;-20.75;1
16785;28.56;9.95;47.38;0.136;17.33;-22.40;1
16803;29.20;10.45;47.80;0.095;27.61;-9.13;1
16806;32.42;11.68;53.23;0.222;30.52;8.65;1
16811;28.50;10.48;46.40;0.184;-13.51;24.60;1
17247;30.72;11.07;51.11;0.197;-23.53;18.89;1
17256;34.00;20.62;67.23;0.112;-31.17;13.00;1
17259;23.26;8.14;37.85;0.105;-22.73;4.37;1
17294;21.94;8.15;35.90;0.123;6.58;20.78;1
17297;23.14;8.07;37.34;0.095;-21.13;-9.19;1
17300;32.50;11.85;53.04;0.132;32.25;0.19;1
17744;33.66;12.02;53.71;0.102;-30.29;14.28;1
17758;30.61;11.15;50.45;0.098;8.43;29.27;1
17787;29.57;10.98;48.01;0.128;16.54;24.26;1
17793;28.64;10.55;46.62;0.125;12.40;25.58;1
18242;28.52;10.03;44.72;0.607;-28.01;4.70;1
18253;33.34;11.70;54.12;0.104;-31.95;-8.91;1
18273;31.97;11.58;51.97;0.155;-26.30;17.54;1
18277;33.94;21.25;67.05;0.137;10.56;31.99;1
18745;31.79;11.57;50.96;0.092;29.93;10.33;1
18758;22.54;7.92;36.40;0.240;-19.33;-10.39;1
18783;30.67;10.77;49.74;0.152;-26.99;-13.86;1
18786;29.54;10.71;47.43;0.100;28.75;-6.15;1
19244;34.43;21.45;68.25;0.097;21.65;26.59;1
19265;29.46;10.50;47.43;0.102;-27.69;9.61;1
19289;21.92;7.68;35.36;0.218;0.09;-21.44;1
19747;28.19;10.08;45.71;0.121;27.77;3.55;1
19761;35.03;20.73;66.91;0.226;-9.27;-33.11;1
