time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
5463;31.16;11.44;51.04;0.219;24.18;18.52;0
5469;32.19;11.41;52.39;2.979;-31.86;-0.87;0
5473;38.13;13.19;60.80;0.140;-27.96;-25.36;0
5485;36.10;13.05;58.87;0.164;20.23;29.31;0
5489;36.06;13.21;58.69;0.186;22.10;27.73;0
5508;37.51;13.38;61.29;0.160;-35.46;10.63;0
5512;31.03;11.42;50.49;0.165;3.48;30.41;0
5516;31.40;11.61;51.88;0.333;-18.87;23.10;0
5528;36.96;13.23;60.41;0.145;31.32;-18.90;0
5533;36.54;13.27;59.14;0.154;20.36;29.79;0
5537;37.28;13.38;60.44;0.168;-21.99;29.47;0
5557;31.40;19.08;62.24;0.179;-25.07;18.06;0
5562;31.39;18.91;60.42;0.216;24.01;-19.29;0
5566;31.20;19.21;61.55;0.240;-15.89;26.10;0
5569;32.62;11.31;51.09;0.261;-11.13;-29.55;0
5587;37.27;13.07;60.03;0.149;-35.11;-11.15;0
5590;37.40;13.04;58.90;0.156;-29.97;-21.61;0
5613;31.57;11.29;51.97;0.146;23.62;-20.45;0
5615;37.57;13.15;60.01;1.645;-36.51;7.02;0
5619;31.61;11.08;53.85;0.137;2.15;-31.23;0
5622;23.30;8.15;38.90;2.152;-20.35;-9.94;0
5632;31.82;19.19;65.38;0.125;-30.72;7.19;0
5635;30.99;11.28;51.87;0.159;29.92;6.43;0
5656;31.99;18.82;59.67;0.140;-24.71;-19.81;0
5682;32.35;11.33;51.62;0.135;-1.27;-32.01;0
5684;32.27;11.49;51.20;2.723;-31.76;1.33;0
5688;32.23;11.30;52.01;0.124;-4.88;-31.60;0
5692;36.94;13.11;59.51;0.163;28.78;-22.38;0
5694;37.71;13.38;60.17;2.753;-36.46;1.04;0
5720;37.86;13.10;59.36;0.179;-26.38;-26.34;0
5722;36.75;13.10;59.48;0.163;36.25;0.88;0
5748;37.57;12.92;59.77;0.136;-17.73;-32.73;0
5771;30.59;11.18;49.09;0.181;9.83;28.47;0
5775;38.40;22.97;73.54;0.167;-27.40;-26.16;0
6176;30.14;18.64;59.03;0.133;28.97;7.28;0
6194;36.41;13.14;58.52;0.122;16.61;32.08;0
6691;32.92;11.89;53.41;1.710;-29.40;-12.95;0
6701;31.41;11.86;51.61;0.151;23.00;20.86;0
7177;29.59;19.34;62.27;0.140;18.67;22.64;0
7188;21.42;8.91;37.11;0.142;-0.44;21.19;0
7520;35.48;14.07;60.01;0.227;32.82;-11.07;0
7541;35.08;14.07;61.03;0.229;31.87;-12.53;0
7761;30.75;12.07;51.92;0.233;-1.26;-29.94;0
7766;29.48;12.07;50.99;0.210;13.52;25.48;0
7768;29.78;11.90;50.70;0.138;29.36;2.76;0
7785;29.62;11.98;52.47;0.274;12.80;25.59;0
7797;35.61;14.19;60.41;0.233;-8.59;33.64;0
7801;30.71;11.94;51.62;0.210;2.21;-29.98;0
7821;22.31;8.71;38.60;0.148;4.28;-21.66;0
7825;31.03;12.01;53.37;0.121;-10.36;-28.99;0
8201;21.32;8.73;36.80;0.154;17.83;11.27;0
8210;31.15;12.17;53.34;1.036;-29.87;7.57;0
8231;21.48;8.76;38.08;0.167;9.89;18.75;0
8235;21.59;8.97;37.16;0.279;-1.70;20.77;0
8696;32.06;12.31;53.91;0.138;15.74;-27.58;0
8712;32.09;12.65;54.67;0.137;-19.45;25.14;0
8734;31.54;19.97;64.64;0.187;28.51;12.37;0
9194;32.23;11.74;52.15;0.115;3.47;31.82;0
9204;32.44;11.65;50.77;0.172;30.19;10.63;0
9208;32.37;11.78;52.55;0.132;17.57;26.85;0
9230;33.07;11.74;52.47;0.133;-10.70;-30.99;0
9235;32.31;11.67;51.09;0.145;-22.40;22.82;0
9419;31.93;11.89;51.31;0.176;-20.67;23.72;0
9689;32.99;12.34;55.73;2.243;-32.16;4.28;0
9708;32.30;12.17;53.85;0.171;16.06;27.49;0
9729;33.03;12.08;55.97;0.157;27.64;-17.35;0
9732;32.66;19.82;63.95;0.135;-30.57;10.64;0
9736;32.61;19.71;63.79;0.137;-30.22;11.36;0
