time_ms,amp_mean,amp_std,amp_max,phase_std,i_mean,q_mean,label
8460,20.56,8.34,34.53,0.223,0.77,-20.33,1
8702,20.98,8.37,34.71,0.203,1.07,-20.79,1
8716,35.41,14.40,58.69,0.593,27.89,21.14,1
8734,31.62,13.35,53.94,0.441,31.25,2.41,1
8739,31.38,12.94,52.15,0.702,4.97,30.70,1
9209,30.48,12.38,48.76,0.152,-12.19,-27.66,1
9224,32.98,12.72,51.92,0.395,29.47,-13.85,1
9260,33.49,12.84,52.81,0.943,-29.65,14.87,1
9264,30.14,12.14,47.54,0.132,-14.60,-26.13,1
9702,30.91,11.43,45.61,0.422,29.52,-7.91,1
9719,31.53,12.53,48.30,1.170,-27.78,14.14,1
9756,32.80,12.74,48.92,0.390,23.08,-22.70,1
10211,32.94,12.44,49.65,0.377,32.37,-4.53,1
10223,34.08,12.86,52.15,0.501,33.34,5.11,1
10251,32.95,12.38,49.52,0.915,-22.99,23.22,1
10255,32.72,12.72,49.93,1.068,-27.96,16.47,1
10704,32.04,12.54,49.04,0.921,-11.19,29.72,1
10723,35.14,13.41,54.42,0.500,32.73,11.89,1
10747,35.60,13.82,54.71,0.311,18.90,-29.80,1
11214,31.66,12.89,51.62,0.347,26.99,-15.91,1
11224,31.21,12.45,50.64,1.257,-28.80,10.94,1
11234,31.30,12.88,51.87,0.628,20.98,22.67,1
11259,32.01,13.26,53.81,0.607,23.93,20.70,1
11707,31.92,13.93,57.45,0.351,24.32,-20.07,1
11717,32.03,14.28,57.08,0.810,5.38,31.11,1
11747,30.03,12.95,53.34,0.512,29.47,-1.63,1
11751,34.55,14.62,61.13,0.402,29.80,-16.10,1
12215,31.64,14.28,56.44,0.714,8.92,29.87,1
12231,31.49,14.38,56.82,0.616,-29.38,-9.92,1
12265,29.47,19.36,70.18,0.405,16.53,-23.50,1
12269,29.21,19.32,70.01,1.146,-20.43,19.75,1
12724,30.03,19.15,69.84,0.985,-15.81,24.35,1
12736,30.33,15.52,58.00,0.975,-15.94,25.04,1
12759,29.75,16.94,61.85,0.612,24.05,16.52,1
12764,27.09,15.58,56.52,0.236,-10.78,-24.30,1
12767,30.36,17.42,62.64,2.023,-28.49,-8.96,1
13206,33.76,15.43,61.47,0.806,-6.91,32.63,1
13219,35.40,15.59,63.32,2.769,-34.52,-5.45,1
13238,30.83,14.10,56.14,0.721,7.66,29.36,1
13241,31.73,14.14,58.19,2.794,-30.96,-4.80,1
13715,31.55,19.82,57.38,0.633,19.96,23.92,1
13753,32.39,12.63,50.93,0.973,-17.19,26.78,1
13794,31.96,11.89,51.35,0.242,-6.02,-30.61,1
13797,35.58,13.61,59.03,2.732,-34.62,3.09,1
14210,32.82,13.58,57.14,2.314,-30.18,-10.16,1
14227,32.84,12.66,54.20,0.643,20.77,24.69,1
14271,30.43,12.45,52.09,1.815,-28.76,7.51,1
14274,34.12,13.48,58.05,2.882,-33.28,1.86,1
14701,36.10,22.23,66.37,1.506,-33.94,9.75,1
14714,33.00,12.31,49.03,0.529,32.43,-1.04,1
14739,30.25,12.10,51.16,0.816,4.98,29.24,1
14743,30.98,11.64,50.00,0.342,20.97,-22.07,1
15211,34.42,14.26,56.72,0.478,33.84,-1.17,1
15228,34.05,14.92,58.73,0.628,22.83,24.64,1
15253,28.94,13.61,51.66,0.622,20.23,19.99,1
15702,29.64,16.10,58.69,0.339,17.38,-23.57,1
15719,22.90,9.28,35.47,0.975,-20.13,10.46,1
15763,28.60,16.31,60.17,0.464,25.32,-12.43,1
16211,32.07,15.18,58.90,0.988,-19.88,24.67,1
16221,29.48,13.45,53.08,0.860,7.19,28.12,1
16241,30.88,12.70,49.82,0.961,-15.25,26.44,1
16246,36.84,23.43,71.03,0.925,-26.84,24.68,1
16249,28.65,11.75,46.62,0.581,27.05,8.37,1
16716,28.77,13.21,52.35,0.399,19.99,-19.61,1
16728,32.55,16.44,62.97,0.735,-21.02,-24.18,1
16751,26.19,14.83,53.37,0.692,8.96,24.39,1
16755,31.16,17.06,62.13,0.120,-19.40,-24.21,1
17212,32.58,12.08,48.08,0.406,28.43,-14.60,1
17231,32.29,12.94,48.47,0.479,28.35,-13.95,1
17260,20.14,9.53,38.91,0.096,-10.07,-17.37,1
17266,18.76,10.19,37.95,0.278,-5.49,-17.46,1
17706,28.20,11.35,43.91,0.751,18.60,20.51,1
17725,34.34,13.76,54.64,0.179,-23.97,-23.79,1
17745,30.72,14.99,60.75,1.014,-11.41,27.80,1
17753,28.17,14.91,61.91,0.955,-22.54,15.79,1
18217,32.83,16.05,62.63,0.895,-19.65,25.58,1
18226,20.28,9.73,38.48,0.401,17.46,-9.44,1
18254,28.72,14.38,55.36,0.734,14.76,23.99,1
18258,29.27,14.19,55.80,0.613,21.34,19.26,1
18706,32.50,12.65,51.09,1.022,-31.39,7.44,1
18716,19.80,8.17,32.89,0.145,-8.31,-17.79,1
18740,23.03,7.80,33.14,0.418,21.70,-6.74,1
18744,32.11,14.79,58.00,0.145,-26.24,-17.93,1
19221,32.35,12.74,52.43,0.626,23.73,20.87,1
19233,21.34,8.19,32.56,1.005,-19.72,7.24,1
19237,35.25,13.55,54.92,0.167,-23.16,-25.89,1
19261,35.26,13.26,52.33,0.899,-21.03,27.58,1
19264,34.75,13.16,52.15,0.508,32.82,9.42,1
19703,34.10,13.77,57.27,0.810,-5.13,32.81,1
19717,33.14,13.12,56.08,0.347,18.69,-26.32,1
19737,32.65,12.67,53.60,0.602,25.54,18.86,1
19742,31.59,12.96,56.01,0.875,7.82,29.44,1
20203,31.25,16.84,63.13,0.271,14.85,-27.21,1
20215,32.48,16.56,63.06,0.954,-26.94,17.71,1
20247,28.60,15.20,56.32,0.185,-7.12,-27.42,1
20251,31.15,16.94,62.63,0.595,25.23,17.54,1
20709,33.46,14.25,57.04,0.439,32.81,-4.76,1
20719,34.69,14.55,58.24,0.385,31.13,-14.64,1
20744,30.30,13.62,54.23,0.395,25.17,-16.31,1
20749,30.13,13.68,54.12,0.652,17.08,24.35,1
21227,32.35,13.37,53.82,0.171,-23.20,-21.84,1
21239,30.94,12.81,53.74,0.934,-21.99,20.91,1
21269,34.06,14.76,56.86,0.816,15.34,29.76,1
21273,30.83,12.57,50.22,0.671,15.76,25.92,1
21710,29.78,13.34,54.08,0.637,25.90,-7.26,1
21734,31.45,14.30,59.03,0.704,27.77,-1.51,1
21738,32.05,14.75,59.41,0.892,16.09,23.50,1
21766,32.53,13.29,55.54,0.876,-3.83,28.94,1
21770,30.95,12.50,54.41,0.605,26.92,-6.65,1
22214,35.89,14.16,58.31,2.404,-34.61,-7.34,1
22229,30.51,12.09,49.20,1.006,-19.74,22.55,1
22250,33.85,12.24,49.77,0.182,-20.36,-26.34,1
22254,32.87,12.22,50.09,0.818,-7.50,31.38,1
22258,33.01,12.28,50.22,0.996,-29.41,13.61,1
22704,29.21,12.11,48.88,0.657,25.38,11.51,1
22716,32.06,13.30,55.03,0.928,-8.51,29.67,1
22741,32.20,11.83,50.91,0.913,-18.64,25.20,1
22745,28.75,11.04,46.49,0.675,13.69,24.76,1
22749,34.39,12.90,54.41,0.224,5.69,-33.58,1
23203,18.85,13.02,40.25,0.564,-13.91,-10.06,1
23218,17.49,13.47,40.61,0.796,12.84,-9.39,1
23239,25.84,17.28,61.35,0.408,-8.93,-23.30,1
23243,29.05,19.63,68.01,1.951,-23.79,14.69,1
23706,30.01,16.64,60.88,0.279,1.59,-29.28,1
23729,33.22,17.22,65.76,0.211,-24.89,-20.90,1
23749,29.26,14.42,57.87,0.373,3.35,-27.51,1
24221,16.12,11.84,37.00,0.995,14.31,-0.64,1
24241,18.44,10.74,38.08,2.576,-15.59,-5.06,1
24263,26.29,19.18,71.12,1.176,11.00,12.83,1
24268,17.72,11.87,38.33,2.181,-12.11,-2.01,1
24718,30.58,18.86,66.84,0.914,-21.34,21.23,1
24733,22.43,9.56,36.12,0.441,21.23,-5.60,1
24752,21.71,8.48,33.14,0.530,21.26,0.24,1
24757,30.09,15.15,58.42,0.192,-8.94,-28.31,1
24760,31.04,15.14,61.85,2.479,-29.68,-7.42,1
25213,35.78,7.41,43.05,0.432,33.93,-9.45,1
25223,21.54,8.45,33.06,2.060,-20.69,4.32,1
25246,35.74,13.29,54.34,2.963,-35.19,-0.17,1
25251,35.18,14.03,53.94,0.714,-12.26,-32.56,1
25710,29.97,15.50,59.48,0.743,14.56,25.36,1
25730,23.07,7.91,33.96,2.933,-22.74,-1.69,1
25757,29.22,14.63,57.71,2.209,-27.84,5.71,1
25761,22.04,7.82,34.48,0.253,-4.62,-20.99,1
25764,29.62,14.58,58.22,2.889,-28.81,-0.09,1
26204,27.40,16.18,58.80,0.625,21.77,14.62,1
26217,31.15,16.68,63.95,0.351,13.90,-26.67,1
26241,28.53,16.54,59.82,0.653,17.55,21.57,1
26246,29.38,16.86,62.13,0.530,-2.78,-28.67,1
26716,28.55,16.58,61.35,0.454,26.57,-8.81,1
26736,32.67,13.69,54.23,0.532,-1.18,-31.99,1
26781,30.99,12.89,55.80,0.820,9.59,25.99,1
27210,29.20,11.24,44.42,1.038,-22.17,18.37,1
27228,29.10,11.75,49.50,0.727,10.62,25.88,1
27250,33.44,12.63,50.70,0.889,-16.72,27.97,1
27703,35.61,14.12,58.52,0.186,-32.85,-12.47,1
27720,33.82,12.54,51.35,0.418,30.85,-12.28,1
27724,33.58,12.63,51.11,0.607,22.64,24.00,1
27744,30.96,19.50,56.30,0.928,-11.39,28.33,1
27747,32.14,19.55,59.03,1.924,-30.75,-7.94,1
27752,31.24,12.21,48.37,0.852,-0.19,30.87,1
28203,32.34,13.71,57.45,0.838,-9.32,30.10,1
28217,31.09,14.00,57.56,0.337,-4.17,-29.30,1
28221,30.56,14.41,58.03,0.313,-7.82,-28.20,1
28240,33.20,12.27,49.16,0.531,-7.34,-31.70,1
28245,32.61,12.02,47.20,0.346,19.43,-25.20,1
28249,28.54,11.55,45.04,0.632,27.07,6.31,1
28717,31.01,16.39,59.64,0.674,19.19,23.32,1
28742,31.35,15.66,58.31,0.769,0.45,30.94,1
28746,31.01,15.99,58.67,0.647,25.45,16.80,1
28770,30.77,22.32,68.25,0.677,22.30,20.62,1
28774,32.59,15.53,58.46,0.179,-4.77,-32.02,1
29214,32.80,16.12,60.30,0.190,-2.61,-32.44,1
29225,30.14,14.55,55.76,0.159,-27.73,-11.12,1
29255,30.35,12.70,50.25,0.582,24.95,16.61,1
29259,34.66,14.70,58.01,0.102,-23.52,-25.22,1
29714,27.66,15.10,55.44,0.664,23.46,13.57,1
29729,28.67,23.03,74.81,1.201,-19.78,19.96,1
29733,20.01,11.29,42.06,1.224,-17.70,8.66,1
29755,30.45,16.53,59.84,3.001,-30.20,-1.06,1
29768,30.68,15.31,58.14,0.464,30.29,-1.69,1
30216,34.46,14.48,56.61,0.804,6.76,33.43,1
30234,33.70,13.72,54.13,0.213,10.12,-31.92,1
30237,31.85,13.63,53.34,0.599,28.85,12.74,1
30268,33.03,13.92,64.38,2.675,-27.69,7.88,1
30714,32.91,13.01,52.77,0.519,31.38,8.57,1
30739,28.84,11.36,45.45,0.538,24.91,13.60,1
30759,31.62,12.54,51.62,2.451,-30.63,-6.12,1
