time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
26460;19.92;14.43;44.78;0.859;7.10;-17.61;1
26464;18.65;13.27;42.52;1.427;-7.09;14.65;1
26484;19.56;13.96;43.01;1.004;18.21;-3.19;1
26488;31.06;22.24;69.43;0.858;22.62;-19.21;1
26513;19.94;12.17;35.17;1.379;4.96;18.16;1
26542;27.36;19.47;60.44;1.006;20.66;-15.85;1
26545;17.82;12.88;39.20;1.327;-1.69;16.59;1
27684;31.81;20.82;68.73;1.537;-6.77;-28.61;1
27715;20.03;11.91;34.13;1.016;-1.48;18.71;1
27718;30.40;21.13;66.64;1.125;25.97;-11.64;1
27762;27.27;18.80;59.24;0.935;12.21;22.38;1
27779;31.16;22.04;69.46;1.061;-26.98;12.51;1
27916;21.10;12.41;36.12;1.345;2.12;-20.12;1
27942;21.47;12.16;36.40;1.270;8.94;-18.17;1
27947;32.32;22.38;69.20;1.167;20.27;-23.20;1
27958;18.67;13.14;41.77;0.973;-13.63;11.60;1
27992;27.68;19.53;61.85;1.017;12.10;23.30;1
28253;22.81;13.32;38.48;0.927;-20.18;-9.45;1
28268;20.17;13.77;43.60;1.369;-9.87;-17.05;1
28297;29.96;21.24;64.51;1.174;-11.46;26.58;1
28755;28.31;20.22;62.63;1.374;-16.86;-22.13;1
28781;18.61;11.99;33.73;1.202;-5.02;17.49;1
28810;19.40;14.97;45.79;1.440;-10.25;-15.70;1
29253;21.22;14.36;39.82;1.994;-18.27;-8.92;1
29266;18.67;11.90;34.48;0.865;16.61;5.53;1
29300;19.38;12.64;35.23;1.308;1.36;-18.69;1
29450;19.05;13.27;36.12;1.664;-0.77;17.87;1
29464;29.47;24.03;73.00;0.828;-21.90;-17.81;1
29470;17.46;12.25;33.73;0.877;3.44;-16.38;1
29502;29.15;22.95;70.18;1.793;-21.92;16.44;1
29515;25.77;20.43;62.43;1.068;17.97;15.95;1
29529;17.92;13.43;41.30;2.301;-16.65;1.63;1
29541;28.20;22.48;68.12;1.406;18.38;18.46;1
29556;19.25;13.20;36.67;1.033;16.17;8.16;1
29562;17.69;13.06;41.48;0.959;11.80;-11.77;1
29591;25.36;19.80;60.73;1.175;17.17;15.93;1
