Feature,Importance
i_mean_IQR,0.11872092011288302
i_mean_Median,0.10599434202065071
amp_mean_Median,0.09857418949065666
q_mean_Median,0.09778943226948898
amp_mean_PeakCount,0.054476699796214924
amp_std_PeakCount,0.04797987139388106
phase_std_Median,0.046624236960242586
i_mean_RMS,0.045414768605974896
q_mean_Energy,0.04192778094112934
q_mean_IQR,0.033877642102715363
q_mean_RMS,0.03339004327486038
amp_mean_RMS,0.02181344748646985
i_mean_Energy,0.02039830825078744
phase_std_IQR,0.01928911685694448
amp_mean_Skewness,0.013394777573981219
phase_std_Energy,0.01288372298175814
amp_max_RMS,0.012271434084136812
amp_mean_Energy,0.011933063515407356
amp_std_FFTEnergy,0.011847505128903393
i_mean_ActivityRatio,0.01037720884626958
amp_max_Energy,0.00976966869744284
amp_std_STD,0.0095012892799871
amp_max_PeakCount,0.008428407207630221
amp_max_Median,0.0077107399331726445
phase_std_PeakCount,0.00742777451943576
phase_std_RMS,0.007264874650321197
q_mean_STD,0.007135777448846037
i_mean_FFTEnergy,0.0070413699568210725
q_mean_ActivityRatio,0.006988550508845971
q_mean_PeakHeight,0.00624990394794836
q_mean_FFTEnergy,0.005514031134617938
i_mean_STD,0.004428536363499494
amp_std_Skewness,0.004295836798265094
i_mean_PeakHeight,0.003990641706364652
amp_std_Median,0.0037481756252332955
amp_std_PeakHeight,0.002861986934777351
phase_std_Kurtosis,0.0025464144996059893
amp_mean_ActivityRatio,0.0022539628333191042
amp_max_PeakHeight,0.0020465286715812465
amp_std_RMS,0.002026996688933132
amp_std_IQR,0.0018966922848468145
i_mean_PeakCount,0.00184506809948732
amp_max_Kurtosis,0.0016610353617978278
amp_max_ActivityRatio,0.0015963408544031185
amp_std_ActivityRatio,0.001587360431294579
i_mean_SpectralEntropy,0.0015798831837188418
amp_max_Bandwidth,0.0014794736299593907
phase_std_ActivityRatio,0.0014666666666666667
phase_std_FFTEnergy,0.001252475682322201
i_mean_Kurtosis,0.001247090029645811
phase_std_SpectralEntropy,0.0011666111589716892
q_mean_PeakCount,0.0010842231629493901
amp_std_Energy,0.0010692187659931277
phase_std_STD,0.000998654450895017
q_mean_Kurtosis,0.0009823885109599398
amp_max_FFTEnergy,0.0009169886115953572
amp_max_STD,0.0009161164465786316
phase_std_Bandwidth,0.0008799999999999998
i_mean_Skewness,0.0008411764705882352
amp_mean_Kurtosis,0.0007151069723581067
phase_std_PeakHeight,0.0007021856361592257
i_mean_Bandwidth,0.000575320512820513
q_mean_Bandwidth,0.0005104088878842815
amp_max_Skewness,0.0004956345471037032
phase_std_Skewness,0.00040998242182248436
amp_mean_PeakHeight,0.0004060160104602582
q_mean_SpectralEntropy,0.0003979232268705954
amp_max_IQR,0.0003235888950174665
amp_std_Bandwidth,0.00025666666666666676
amp_mean_Bandwidth,0.0002566666666666667
amp_mean_SpectralEntropy,0.0001594202898550725
amp_max_SpectralEntropy,0.00011363636363636365
amp_mean_FFTEnergy,0.0
q_mean_Skewness,0.0
amp_mean_IQR,0.0
amp_mean_STD,0.0
amp_std_SpectralEntropy,0.0
amp_std_Kurtosis,0.0
