Feature,Importance
amp_max_IQR,0.08082815718879945
amp_max_STD,0.06908466184443351
amp_max_PeakHeight,0.06394280114204925
amp_max_RMS,0.056632226516074094
amp_max_Variance,0.05320243282071372
amp_max_Power,0.04783177061487374
amp_max_Energy,0.044546913452574735
amp_max_LowBandPower,0.04126896194620653
amp_max_FFTEnergy,0.039668521527794404
amp_max_Mean,0.03503848667672197
amp_mean_Power,0.031241251398845135
amp_max_PeakProminence,0.02976904962014795
amp_max_Median,0.02919103902782729
amp_mean_RMS,0.02674035615826576
amp_mean_Energy,0.021436250377343924
amp_mean_LowBandPower,0.0197837334590383
amp_mean_PeakHeight,0.016684992600756274
amp_mean_FFTEnergy,0.01661627906341838
amp_mean_STD,0.01539847367634513
amp_mean_Variance,0.014570720560303894
amp_mean_Median,0.01127833519171825
amp_std_IQR,0.009793871968149572
amp_mean_HighBandPower,0.009554003315908076
phase_std_STD,0.00858138220490458
i_mean_Power,0.007055357572829443
amp_max_Skewness,0.006547826703413469
amp_max_HighBandPower,0.006472213885554221
amp_std_SpectralEntropy,0.006158250905473127
phase_std_HighBandPower,0.0059733935729695585
i_mean_PeakHeight,0.005942650540861755
phase_std_Median,0.005861475559483366
phase_std_PeakHeight,0.00570760428297193
i_mean_Energy,0.0054494190020505815
phase_std_FFTEnergy,0.004989603128700873
amp_std_RMS,0.0049502768700072615
amp_std_Power,0.004945432964008816
amp_std_Energy,0.004924047098178114
phase_std_SpectralEntropy,0.004546464892775292
q_mean_HighBandPower,0.004335149824184912
amp_mean_Mean,0.0040404040404040395
phase_std_Power,0.0038849106689663963
phase_std_CoeffVar,0.003527565305760795
phase_std_Bandwidth,0.0035085114292630628
phase_std_LowBandPower,0.00328954746234158
phase_std_SpectralCentroid,0.003236910148674854
phase_std_SpectralFlatness,0.0030543688524574245
amp_std_Variance,0.0029950931421519654
amp_mean_IQR,0.002898418982977806
phase_std_Kurtosis,0.0028866396761133605
amp_mean_PeakProminence,0.002699413125165005
amp_mean_Skewness,0.0026707868155236574
amp_std_Mean,0.0024916729512317747
amp_max_SpectralEntropy,0.002478165109744057
amp_max_SpectralCentroid,0.0023651960784313725
amp_std_PeakProminence,0.0023555291681890147
q_mean_PeakHeight,0.002236059867734076
i_mean_Median,0.002232074752097636
i_mean_SpectralFlatness,0.0022281297134238306
amp_max_Kurtosis,0.002206201091650008
amp_mean_CoeffVar,0.0021259859605724267
amp_std_SpectralFlatness,0.001988795518207283
phase_std_Variance,0.0019517425191767294
q_mean_MotionDuration,0.0019262819087749062
amp_mean_MotionDuration,0.0019261794532627865
amp_mean_SpectralCentroid,0.0019024973042830189
i_mean_STD,0.0018785014005602242
amp_max_PeakWidth,0.0018750000000000004
q_mean_RMS,0.0018541843820861677
i_mean_ZeroCrossingRate,0.0018283453732370137
amp_std_Median,0.001808035714285714
amp_std_PeakHeight,0.0017677005012531328
amp_std_STD,0.0017018602312719958
phase_std_Skewness,0.0016326530612244899
i_mean_HighBandPower,0.0016130683042447746
i_mean_Bandwidth,0.0015101809954751132
i_mean_RMS,0.0013608776844070962
amp_mean_SpectralEntropy,0.0013266443701226308
amp_std_Kurtosis,0.0012577160493827163
q_mean_Bandwidth,0.0012396694214876032
amp_std_SpectralCentroid,0.0012322472848788643
amp_mean_Kurtosis,0.001216374269005848
amp_max_ActivityRatio,0.0012108187134502928
i_mean_LowBandPower,0.0011551185556867376
q_mean_SpectralEntropy,0.0011424512987012986
amp_std_Bandwidth,0.0011278195488721805
q_mean_CoeffVar,0.0011160714285714285
phase_std_PeakProminence,0.0011029411764705882
i_mean_PeakCount,0.0010881696428571427
amp_std_FFTEnergy,0.0010687830687830689
amp_std_ActivityRatio,0.0010079365079365083
i_mean_FFTEnergy,0.00099802371541502
amp_mean_PeakCount,0.000969135802469136
q_mean_IQR,0.0008851290516206485
i_mean_MotionDuration,0.0008641975308641982
i_mean_Skewness,0.0008636267006802721
amp_std_Skewness,0.0008552631578947373
i_mean_Variance,0.000847518494577318
i_mean_IQR,0.0008097165991902835
phase_std_IQR,0.0007843137254901959
amp_mean_SpectralFlatness,0.00078125
q_mean_Skewness,0.0007777777777777778
q_mean_Variance,0.000749923227039932
q_mean_Power,0.0006955904533759203
amp_max_ZeroCrossingRate,0.0006625258799171843
q_mean_PeakCount,0.0005434782608695653
i_mean_SpectralCentroid,0.00047368421052631604
i_mean_ActivityRatio,0.0004340277777777778
q_mean_SpectralCentroid,0.00043209876543209895
amp_max_SpectralFlatness,0.00042735042735042724
phase_std_RMS,0.0004243827160493828
q_mean_Energy,0.00042438271604938277
amp_max_Bandwidth,0.0004223227752639518
amp_std_PeakWidth,0.00042016806722689084
q_mean_DominantFrequency,0.00041852678571428575
amp_mean_PeakWidth,0.00041666666666666686
phase_std_PeakWidth,0.00041666666666666686
phase_std_Mean,0.00041666666666666686
q_mean_ZeroCrossingRate,0.0004166666666666667
i_mean_DominantFrequency,0.0004145408163265307
q_mean_PeakWidth,0.0003770739064856712
amp_max_DominantFrequency,0.00030864197530864197
phase_std_ZeroCrossingRate,0.0002976190476190476
i_mean_PeakWidth,0.00019695378151260513
amp_mean_ZeroCrossingRate,0.0
amp_mean_Bandwidth,0.0
amp_mean_DominantFrequency,0.0
amp_mean_ActivityRatio,0.0
amp_max_MotionDuration,0.0
phase_std_PeakCount,0.0
phase_std_Energy,0.0
amp_max_PeakCount,0.0
amp_std_LowBandPower,0.0
amp_std_MotionDuration,0.0
amp_std_PeakCount,0.0
amp_std_ZeroCrossingRate,0.0
amp_std_CoeffVar,0.0
amp_max_CoeffVar,0.0
amp_std_HighBandPower,0.0
amp_std_DominantFrequency,0.0
phase_std_ActivityRatio,0.0
i_mean_PeakProminence,0.0
i_mean_CoeffVar,0.0
i_mean_Kurtosis,0.0
i_mean_Mean,0.0
phase_std_DominantFrequency,0.0
phase_std_MotionDuration,0.0
i_mean_SpectralEntropy,0.0
q_mean_Median,0.0
q_mean_Kurtosis,0.0
q_mean_STD,0.0
q_mean_Mean,0.0
q_mean_PeakProminence,0.0
q_mean_ActivityRatio,0.0
q_mean_FFTEnergy,0.0
q_mean_SpectralFlatness,0.0
q_mean_LowBandPower,0.0
