Sample,Method,Dataset,Label,amp_mean_Median,amp_mean_STD,amp_mean_RMS,amp_mean_IQR,amp_mean_Skewness,amp_mean_Kurtosis,amp_mean_Energy,amp_mean_PeakCount,amp_mean_PeakHeight,amp_mean_PeakProminence,amp_mean_ActivityRatio,amp_mean_MotionDuration,amp_mean_FFTEnergy,amp_mean_SpectralCentroid,amp_mean_Bandwidth,amp_mean_SpectralEntropy,amp_std_Median,amp_std_STD,amp_std_RMS,amp_std_IQR,amp_std_Skewness,amp_std_Kurtosis,amp_std_Energy,amp_std_PeakCount,amp_std_PeakHeight,amp_std_PeakProminence,amp_std_ActivityRatio,amp_std_MotionDuration,amp_std_FFTEnergy,amp_std_SpectralCentroid,amp_std_Bandwidth,amp_std_SpectralEntropy,amp_max_Median,amp_max_STD,amp_max_RMS,amp_max_IQR,amp_max_Skewness,amp_max_Kurtosis,amp_max_Energy,amp_max_PeakCount,amp_max_PeakHeight,amp_max_PeakProminence,amp_max_ActivityRatio,amp_max_MotionDuration,amp_max_FFTEnergy,amp_max_SpectralCentroid,amp_max_Bandwidth,amp_max_SpectralEntropy,phase_std_Median,phase_std_STD,phase_std_RMS,phase_std_IQR,phase_std_Skewness,phase_std_Kurtosis,phase_std_Energy,phase_std_PeakCount,phase_std_PeakHeight,phase_std_PeakProminence,phase_std_ActivityRatio,phase_std_MotionDuration,phase_std_FFTEnergy,phase_std_SpectralCentroid,phase_std_Bandwidth,phase_std_SpectralEntropy,i_mean_Median,i_mean_STD,i_mean_RMS,i_mean_IQR,i_mean_Skewness,i_mean_Kurtosis,i_mean_Energy,i_mean_PeakCount,i_mean_PeakHeight,i_mean_PeakProminence,i_mean_ActivityRatio,i_mean_MotionDuration,i_mean_FFTEnergy,i_mean_SpectralCentroid,i_mean_Bandwidth,i_mean_SpectralEntropy,q_mean_Median,q_mean_STD,q_mean_RMS,q_mean_IQR,q_mean_Skewness,q_mean_Kurtosis,q_mean_Energy,q_mean_PeakCount,q_mean_PeakHeight,q_mean_PeakProminence,q_mean_ActivityRatio,q_mean_MotionDuration,q_mean_FFTEnergy,q_mean_SpectralCentroid,q_mean_Bandwidth,q_mean_SpectralEntropy
moving_average_static_000,moving_average,static,0,0.0,0.0074479666738914,0.0097142880503948,0.0160322291166074,0.5077546969099723,-1.612738134296947,0.0047183696163021,2,0.0168335296672837,0.0008234475497782,40.0,20,0.069336488607078,0.8229286163679829,1.0556180441510743,2.9489508199437924,0.0013750603535477,0.0036002628623393,0.0047497191291105,0.0062586849432611,0.7976246831676501,-0.8611821036970362,0.0011279915902719,0,0.0,0.0,36.0,18,0.0161930168453595,1.2027555465490791,1.3002139880213952,3.592034191273676,0.0135973588150188,0.0079830329113856,0.0138699498768834,0.013295580755557,-0.1701834189043066,-1.2123047568400402,0.0096187754793629,2,0.0190249817206731,0.001214922703325,57.99999999999999,29,0.0796593956529015,0.6308821710220403,0.8713205299135252,2.4457940131706373,0.002127958690278,0.0015980615213302,0.0026342223907795,0.0026548754704935,0.1852265263546671,-0.9745031253632072,0.0003469563802042,2,0.0035125806468763,0.0013975318996828,50.0,25,0.0031915420366305,1.0721221708969664,1.1692952282661884,3.347760125135412,0.0329178614654201,0.0173117994352222,0.0320965946230422,0.0320103594729919,-0.4605405080300431,-1.2872375884828675,0.0515095693197951,1,0.0498238755785485,0.0097089875306604,57.99999999999999,29,0.374621260622837,0.5680925604875368,0.6177678901017943,2.571657472928306,0.0662857575203653,0.0292221959993761,0.0810793854287126,0.060484809951097,0.3550263080695942,-1.499675002484001,0.3286933370748872,1,0.120417833234519,0.013922273943515,40.0,20,1.0671565549278896,0.987167885837076,1.1793119097498197,3.287083546743648
moving_average_static_001,moving_average,static,0,0.0054858139124143,0.0047859435412775,0.0068383372453899,0.0087546260190604,0.2343616787244473,-1.5244973944664932,0.0023381428140844,1,0.0126923097084911,0.0072537127627738,54.0,27,0.0286223532818404,1.0917863162890795,1.2229426775818792,3.461687826096897,0.0050686095166359,0.0042413504494174,0.0069237649219265,0.007546406236576,0.1734625817751104,-1.4491678262499543,0.002396926034705,1,0.0121259585789282,0.0121259585789282,48.0,24,0.0224859579109142,0.6462109557504722,0.8470012995722375,2.5896910539276843,0.0116513483908672,0.0069303721202915,0.0116900541206969,0.0130443015675712,-0.1821517538724363,-1.5667272754618522,0.0068328682672412,2,0.0167381120555646,0.0097277572767954,56.00000000000001,28,0.0600373013411617,0.5840308022189764,0.7035511265451564,2.526145150397836,0.0052156010912477,0.0030281630766469,0.005192471292781,0.0060257672411135,-0.2567428145045169,-1.3710996128686583,0.0013480879063177,1,0.0087306344788619,0.0035424428705645,60.0,30,0.0114612687857439,0.7815511001528442,1.027601151822775,2.715269707790632,0.0479855442584282,0.0199726159743913,0.0452918328456549,0.0144319310497369,-1.2495616543015138,0.0612277883789249,0.1025675061259373,3,0.0561656896288843,0.008516839489526,72.0,36,0.4982915572386925,1.2576210356533868,1.2747635066443372,3.749657633492268,0.1151982362695962,0.0187702773746689,0.1114143567636552,0.0126363115634726,-1.423950096904444,1.334638235358919,0.620657944652952,3,0.1228426526314833,0.0072379175715021,68.0,34,0.4394774065636646,1.5651475066611806,1.348283077055289,4.136257745209229
moving_average_static_002,moving_average,static,0,0.0074261804809812,0.0046170207196319,0.0076035929438292,0.0096315264380256,-0.239721466386433,-1.4613470302257043,0.0028907312827725,2,0.0112805899872951,0.0039081735124825,57.99999999999999,29,0.0266375520000233,1.0677313455876112,1.1765161722105608,3.5069177865011256,0.0014542409785976,0.0042173262575278,0.0051649694908458,0.0024660457028888,1.365437723159759,0.2231605310743467,0.0013338454920684,1,0.0121259585789282,0.0007481348779045,22.0,11,0.0222166972974991,1.2347235638817744,1.2669242940551833,3.7314790288789057,0.0001104606568594,0.0068811301911709,0.007943653506358,0.0021137507596677,1.4588111653444216,0.2959577768857273,0.0031550815514537,1,0.0188926363102959,0.0009865107792154,22.0,11,0.0591512584859371,1.218301429774844,1.2693160496358025,3.703412744293616,0.0051697419664021,0.0032466942033666,0.0050912664961648,0.0064815629760385,-0.1347418415247246,-1.591919249498049,0.0012960497267485,1,0.0087306344788619,0.003007884453922,57.99999999999999,29,0.0131727089537258,1.080690136423924,1.2442385396039315,3.3373635945174347,0.0563628829258067,0.0295410559599717,0.076420455122004,0.0408855226537331,1.0445706968954929,-0.6727717216589326,0.2920042980527118,1,0.1284418606353897,0.0118517367231611,28.000000000000004,14,1.0900321484107651,1.2547238443926076,1.3145998560230248,3.705286793895931,0.1229467303582594,0.0085519086985923,0.1231487418237584,0.0107775612094088,-0.0628817458377301,-0.304812998696478,0.7582806306387361,3,0.1333754909501246,0.0104700756550716,50.0,25,0.0913479628177986,1.3661264766328494,1.3030758023163562,3.727911012571238
moving_average_static_003,moving_average,static,0,0.0,0.0233775371581694,0.0247061508644899,0.0046587514387212,3.8880215526621016,14.893495720111355,0.0305196945269468,1,0.0098688702660992,0.0006130699080406,22.0,11,0.6808236377300363,1.7196456033195375,1.332388930844692,4.333039841553756,0.0009240857023346,0.0034607211901243,0.0043559715669225,0.0035081413610452,1.3035180091928302,0.32990605033965,0.0009487244145918,1,0.010696751252015,0.0003172252304176,30.0,15,0.0149620115271923,1.1737265387513898,1.262720061396252,3.631103140588297,0.0,0.1544137661417194,0.1836043739718052,0.2221950853458052,1.067775338062848,-0.6861685256140131,1.6855283070789258,0,0.0,0.0,30.0,15,29.782618469327264,1.247996370334087,1.3007076489748688,3.7194319771156654,0.000858077248899,0.0017661470008389,0.0023607247280583,0.0030743856239769,0.6870932696178842,-0.9526904391807802,0.0002786510620833,1,0.003880191154261,0.0032602351539975,42.0,21,0.0038990471434834,0.8406401458768478,0.8719535985514891,3.18236969763978,0.1182015703327179,0.0461256887397187,0.1216527200350195,0.0752973792554386,0.0452133380202369,-1.1622522074131745,0.7399692145959423,2,0.159401812395988,0.0658849868695101,57.99999999999999,29,2.659401612455778,0.6163432404708266,0.8642841781895666,2.4404698146713573,0.1214930368384793,0.0178888092172889,0.1168242527505162,0.0322434216497416,-0.6300924174956231,-1.04160282849384,0.6823953015358248,4,0.130639438887411,0.0063976204648916,68.0,34,0.3997447379970511,1.23300117209926,1.2655134065735902,3.716284920920502
moving_average_static_004,moving_average,static,0,0.1400533846195735,0.104353268935531,0.1541681480607415,0.2234948466183563,-0.0276085374791852,-1.859870265286624,1.1883908938239365,1,0.2364460336914628,0.0839377018837562,52.0,26,13.60978606588018,0.9642765932226328,1.17356670310532,3.054517418723207,0.0069738089821299,0.0048894858248887,0.0088091127124089,0.0074809738017665,0.1005970257851696,-1.3522822082178807,0.0038800233389962,2,0.0126624246623136,0.0044642858576886,50.0,25,0.029863063639748,1.2673790040605404,1.2702713245662516,3.75961539909014,0.2489366724246772,0.1495344295781384,0.2919800858094723,0.2230672754115309,-0.4442747085299696,-1.0973962524709024,4.262618525465341,1,0.4326919197001684,0.2721117398567612,50.0,25,27.945344238843848,0.9727113578963662,1.1684473381415146,3.204478384864521,0.0034819864452903,0.0043897517240582,0.0067299486401426,0.0077446779330921,0.5653031217344928,-1.178893038096669,0.0022646104349478,1,0.0128788723539157,0.0128273755837393,38.0,19,0.0240757779813135,1.1427790019674706,1.2467879540639737,3.571151695184413,0.0790683761351259,0.0498164442238003,0.1110414533279239,0.0919551266501226,0.6293930956589818,-1.1813520883010316,0.6165102178588757,1,0.1903617641565863,0.0585500543155737,38.0,19,3.101179529104003,1.035254030722147,1.2137292539546998,3.3404202630435336,0.0839534819160147,0.0291298414237755,0.0862422049450325,0.0395282370035849,0.3120365778503851,-0.9784776222535934,0.3718858956890494,2,0.1120221319192494,0.004856530549362,54.0,27,1.059692649413796,1.311750587827346,1.3089543865013935,3.8546500848134935
moving_average_static_005,moving_average,static,0,0.1348065996094442,0.0979150021853688,0.1542260350655762,0.2079733807552116,0.0058815403444912,-1.8564797360841108,1.1892834946024176,1,0.2364460336914628,0.0808351923281646,50.0,25,11.982834575819338,0.8965227354772113,1.1461248393028176,2.7456813949791377,0.0091584681637209,0.0046802688661597,0.0097276243955822,0.0091420952010295,-0.1554408320090632,-1.5532928026422357,0.0047313338190763,1,0.0146280980726123,0.011610098258191,52.0,26,0.0273728322550693,1.0865511946978377,1.2111199587450188,3.3765111264023986,0.2042593438811255,0.121535994231427,0.2532952610006881,0.0840101434206698,0.3732544302494436,-0.6004335874309539,3.2079244622703373,1,0.4326919197001684,0.0187641943707315,26.0,13,18.44725061741781,1.3023173029948436,1.2824599292996086,3.838120667549392,0.0128595866043344,0.0069469696176633,0.0158226834587676,0.0117086091866953,-0.4604754364339002,-1.0630212579293434,0.0125178655918179,2,0.021410933940806,0.0013046069608743,48.0,24,0.060306716791912,1.0543670160347685,1.193906118262062,3.4105104834394586,0.0501799945198418,0.0197307716899257,0.0530126155590253,0.0206961071974146,0.1748028966954258,-0.6594709424967657,0.1405168704204506,2,0.0693978223264926,0.0047466692606301,54.0,27,0.4866050962046269,0.7211680376263557,0.910432181567851,2.8574985815233216,0.0420683404117907,0.0235717039618073,0.0470931085522513,0.0163801983182387,-0.2638231203923965,-0.3601009447301817,0.1108880436557065,2,0.0431055559549466,0.0030924272356374,60.0,30,0.6935302646476182,1.44213278449686,1.325177003567206,4.036654594131763
moving_average_static_006,moving_average,static,0,0.0571962824012791,0.0399040792984628,0.068597867390504,0.0697609321408798,0.4277510172173882,-0.5979400514262774,0.2352833705262592,1,0.0857573388823431,0.0021287722567555,50.0,25,1.9901349061700453,0.9658581654148116,1.0572006518967652,3.3889101415960474,0.0021406296969639,0.0044507903442197,0.0060307276222283,0.0050469905583789,1.053212236593107,-0.5186982265750086,0.0018184837826753,0,0.0,0.0,28.000000000000004,14,0.0247479290804288,1.2033932809218608,1.299625475418044,3.605837653439115,0.0948716922866736,0.0574886284784353,0.129543544478392,0.0942553401168355,0.3756443503596054,-1.0277200894920095,0.8390764958012566,0,0.0,0.0,34.0,17,4.128615014570157,1.219696339734179,1.2931304746822885,3.625325294906521,0.0153858503744427,0.0070658619951014,0.0158011784512279,0.0116380696841051,-0.3835312745930673,-1.3573648798871922,0.0124838620223775,2,0.021410933940806,0.0052688162515118,52.0,26,0.0624056484422029,0.693761988516783,0.9013713529489218,2.6894798822476917,0.0460556660270001,0.0286887794767931,0.0618116658875266,0.0482460800691409,0.3545575857293291,-1.2411736840839134,0.191034101989561,1,0.1019190248421621,0.0863900433735667,42.0,21,1.0286918569144288,0.8693871318329506,1.122382043080262,2.890035348123668,0.0396551151474262,0.0893105503524439,0.1112982832451466,0.0432362842415871,2.133940537055933,3.5533703401145216,0.6193653926658447,0,0.0,0.0,22.0,11,9.957602126535727,1.4054418552287622,1.3041373941306973,4.01594982602458
moving_average_static_007,moving_average,static,0,0.1829850930965065,0.1034254048076469,0.2142548568877672,0.2117638212703258,-0.0026519794075837,-1.866263518739784,2.29525718499988,1,0.3044304919393314,0.0206037200594083,50.0,25,13.363800770208648,1.238725226996294,1.311331187239072,3.5645284031170608,0.0018143564490816,0.0009695173673037,0.0015983243714844,0.0020828226261068,-0.3284884896871209,-1.6608159554154962,0.000127732039824,3,0.0022433990738292,0.0008975313539981,57.99999999999999,29,0.0011742585053867,1.117845059932509,1.1655810804167197,3.6022322347935503,0.062420127146385,0.0251868863548817,0.0730220044435152,0.0429548395870511,-0.2542941629496785,-1.3353694799670042,0.2666106566474377,2,0.0973773829558289,0.0232247814914359,46.0,23,0.7929554061201924,0.6407544804189614,0.827061230517525,2.6113268341871017,0.0089263293266936,0.0031744709853463,0.008909187488165,0.0020172366876568,-0.0241522070185516,1.0037344498393272,0.0039686810849638,1,0.0095837413479837,0.0019599521752797,68.0,34,0.0125800277280834,1.4296621065555564,1.3507497494183272,3.9641223725380086,0.0389970389003474,0.0347495125616312,0.0565522616406369,0.0629247190425737,0.3923854682870963,-1.2504326757380049,0.1599079148335529,1,0.1019190248421621,0.0068394774645161,44.0,22,1.5092381844121736,0.8651334301220778,1.135570414448699,2.846598398976324,0.350122836658577,0.1936565693324821,0.3354348108850287,0.3142741026363946,0.0107534372279022,-1.373749948447965,5.625825617673749,2,0.4691892435174145,0.0083230003448493,57.99999999999999,29,46.83763778179371,1.29716940609885,1.3098436942026168,3.8250546074054257
moving_average_static_008,moving_average,static,0,0.2572600787474849,0.0276094568685472,0.2699081487787608,0.0486177546038507,-0.2278009634133838,-0.8179500026225748,3.642520438858884,1,0.3044304919393314,0.0967634166614673,46.0,23,0.9528358066289968,0.8388744102593283,0.8648711635696246,3.237874109725329,0.0020351190375232,0.0018492270350341,0.0029321161658481,0.0036123993974185,0.338979548441879,-1.1288790470321857,0.0004298652605014,0,0.0,0.0,38.0,19,0.0042731809848946,1.024133180726836,1.204252260384552,3.3059461052435744,0.0390373372646214,0.0202593890806672,0.0421966335672133,0.0353387380265374,-0.3379246665133835,-1.2632218317427937,0.0890277942202839,2,0.0600063657094148,0.0186748019739945,54.0,27,0.5124584613061387,1.4317854197612807,1.35229598769272,3.9357959670482825,0.0088178478738936,0.0131903919823998,0.0187820532832378,0.003271234485523,1.4362429049846357,0.5322138714229392,0.0176382762767191,0,0.0,0.0,22.0,11,0.2172928293453018,1.2910309717611743,1.298660114718439,3.811415090814234,0.0354739380697955,0.0214952063633071,0.0400474648454066,0.0456958133783943,-0.1477655392520911,-1.5103495337963924,0.0801899720272038,2,0.0598495206965478,0.0208052833364038,52.0,26,0.5775486610732152,0.5324835435716829,0.7985063116971278,1.9516086032500648,0.452844253550507,0.1735150294648052,0.4585215774360671,0.2202341411510274,-0.9170576475515302,-0.1480975160163566,10.512101848722963,2,0.5905711471046461,0.1297049039320809,52.0,26,37.62106492150578,1.065576981407214,1.2099919489251676,3.4468192858309328
moving_average_static_009,moving_average,static,0,0.1924775171731624,0.1145273910141126,0.1801677148536293,0.238237896396394,-0.1390539867686424,-1.8823384878046576,1.623020273778934,1,0.2526008178264348,0.0063199868868352,54.0,27,16.386703005020706,1.2351260821266348,1.3122944833258965,3.582143899363136,0.0043238241440119,0.0018205368000018,0.0042691636686162,0.0018050642651724,-1.046087635095002,0.0469682013957122,0.0009112879214716,1,0.0055140525655749,0.0022015614892433,62.0,31,0.0041382539545834,1.375998370380411,1.2915057804614067,3.9787122660786456,0.0417774617272582,0.0910880764696093,0.1232188082470117,0.1705869954333549,0.8344760755764806,-1.02564717045955,0.7591437352906929,0,0.0,0.0,32.0,16,10.366782771909346,1.1437504807210417,1.2758479800336051,3.485301759461257,0.0377513076167354,0.0174103676401473,0.0346740008839105,0.0367031632099043,-0.7427049926694238,-1.203609976985342,0.0601143168648713,1,0.0466553431940902,0.0119171068874852,68.0,34,0.3788053176427097,1.0165995939624597,1.2193839830542827,3.22498754413129,0.0323190885821232,0.0151166861595596,0.041020018732639,0.0317001929178088,0.3947767376015027,-1.463272772590566,0.0841320968413031,2,0.0598495206965478,0.0024390395955441,40.0,20,0.2855842624576718,0.9884253944595224,1.191866350737604,3.162162401144232,0.081239606513919,0.2346055812503361,0.3347884702074783,0.5018837789761126,0.7019109730827221,-1.3907442763902256,5.60416598919318,1,0.607968060944494,0.0354255938088785,36.0,18,68.76270194309677,1.198229208391568,1.295595742136966,3.5525600694352555
