Feature,Importance
amp_std_STD,0.07162596677016822
amp_std_FFTEnergy,0.06322813007146427
amp_std_PeakProminence,0.05615660773966633
amp_max_Energy,0.05518184963575825
amp_max_RMS,0.04914651654381675
amp_std_RMS,0.04821967785273552
amp_mean_STD,0.04779980435947983
amp_std_Energy,0.046456868427922
amp_max_STD,0.04549577568219788
amp_max_FFTEnergy,0.04519499786766372
phase_std_RMS,0.03735793995972451
amp_mean_Energy,0.03585537470438375
amp_mean_FFTEnergy,0.034607658506847286
amp_mean_RMS,0.03347259340069618
phase_std_Energy,0.03295172908637818
amp_max_PeakProminence,0.028633225619336407
phase_std_FFTEnergy,0.0251370952889508
i_mean_Energy,0.022914310403734147
i_mean_RMS,0.02051691095276218
amp_mean_PeakProminence,0.01942911315017228
phase_std_STD,0.01826078638894431
i_mean_FFTEnergy,0.016362689495866507
phase_std_PeakProminence,0.0162553255264277
i_mean_PeakProminence,0.015610706684867914
i_mean_STD,0.01513334349211847
q_mean_RMS,0.014788809717216874
q_mean_STD,0.013378104470916561
q_mean_Energy,0.01142126590031201
i_mean_PeakCount,0.011371036940665269
q_mean_FFTEnergy,0.010946905953988534
phase_std_PeakCount,0.008518338594222104
q_mean_PeakProminence,0.00672219027381388
amp_mean_PeakCount,0.005682465287895354
amp_std_PeakCount,0.005515231574409915
amp_max_PeakCount,0.005469002272176562
q_mean_PeakCount,0.005181651402299648
