Signal,STD,RMS,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,SpectralEntropy,SpectralCentroid,Bandwidth,FFTEnergy
amp_mean,0.11634424960969492,0.13852313421764226,4.912296630650606,3,0.2202842702285408,0.18025477888503458,25.390625,4.49389542847684,0.46479016972316134,0.8152798374216972,443.54615295867075
amp_std,0.017289594667243627,0.019469794044247608,0.09704265731210743,2,0.0450033407507667,0.0450033407507667,23.046875,4.092677873112848,0.33922610518039054,0.48368136529307837,9.795339715619914
amp_max,0.11489181108049623,0.14210344100993585,5.169507314397267,5,0.23547142855960795,0.09457699034248736,35.15625,3.6525012376860695,0.2879674856757005,0.5653082925235675,432.5417759077805
phase_std,0.19721117716249856,0.23060339684142625,13.613549218509906,2,0.5150004091869831,0.35784455474719334,21.484375,4.944671375494104,0.6521854781384195,1.0232208442773936,1274.409218544151
i_mean,0.012741089417115572,0.020002797676833016,0.10242865021448097,6,0.03108565167401438,0.012614513003115682,50.78125,5.436971909735314,0.9249782382170503,1.2309326533519216,5.319291137239832
q_mean,0.037151126796604435,0.053470772473201485,0.7319356182735056,6,0.07199832896941404,0.03998628080892266,42.578125,4.552280593413986,0.4552733577010467,0.7743545807386646,45.22649800253066
amp_mean,0.11811460257074094,0.14351759103146106,5.2729085274812695,2,0.30653141207756546,0.276560978085097,30.46875,4.221706715013578,0.38876487271504734,0.6732614191869295,457.147952735456
amp_std,0.019775202575471995,0.02318362414135651,0.13759498965188824,3,0.05344959176197487,0.0355912561247659,23.4375,3.991249580014779,0.30933914921517514,0.433411913289432,12.814208845541549
amp_max,0.1426000753114809,0.21900128018026202,12.278159544471968,5,0.3546310010845956,0.234615677301657,43.359375,3.8748271183856935,0.28436834438272873,0.3163917172481142,666.3301193597802
phase_std,0.08447028940214407,0.10522084067358181,2.8342848798861535,4,0.13663969384467298,0.10047238730287428,28.515625,4.506290229659523,0.46396545833617564,0.8009893874119154,233.80663010557416
i_mean,0.01130011511664694,0.023232723335369965,0.1381784149959281,5,0.03448852161364398,0.01967576722211874,52.734375,4.8738375047548255,0.6040212245308765,0.9743800355775715,4.184200504830069
q_mean,0.032953231104973016,0.0571916581075386,0.837346753814934,6,0.07545879218143374,0.04116530551306271,35.15625,4.451595559344325,0.4111982769821995,0.6425315388552797,35.58324725838887
amp_mean,0.05292030916681494,0.06359121022500702,1.0352235565775456,1,0.1799594510720772,0.0789601396746978,22.265625,4.1156737857090615,0.3744101519053618,0.6933636862594178,91.76866875287811
amp_std,0.04879256476041245,0.05191909156532099,0.6900715696558555,2,0.0513573013314558,0.025854993187312752,16.796875,6.067641457622145,1.143066780846586,1.301904856977993,78.00256206883085
amp_max,0.17848386256748372,0.24937064308010323,15.919543713327165,3,0.4644686454189915,0.4458494833069863,37.109375,3.9533811844470828,0.2815022351741196,0.33649174143002497,1043.873436900206
phase_std,0.07945409407711994,0.0955586422630068,2.337652252454223,2,0.1759995745971085,0.1759995745971085,28.125,5.771600606150014,1.02972333914268,1.2769509297376356,206.85099386691778
i_mean,0.0102188716527044,0.019789069839806748,0.10025146499193577,6,0.02675799938340193,0.011507710816689548,41.796875,5.04409206686991,0.726510252613625,1.083813783827234,3.4217697044956608
q_mean,0.01598981018772485,0.03180045226168993,0.2588848035962931,7,0.046171060099446014,0.021258964502584736,44.921875,4.875212586888432,0.5732842058312148,0.9071375570068848,8.377879889355011
amp_mean,0.07522294321919702,0.09723847647472181,2.420562254624007,2,0.20593472423015718,0.19238341337312254,30.46875,3.749411461364034,0.2564052236872147,0.3646550021298629,185.4174372849508
amp_std,0.07475191537454814,0.08173318647567628,1.7101603254957238,1,0.2717594007805606,0.2708242182809696,13.28125,4.1661127125549555,0.339388552699476,0.584670035962867,183.10254958821446
