Signal,STD,RMS,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,SpectralEntropy,SpectralCentroid,Bandwidth,FFTEnergy
amp_mean,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
amp_std,0.0031955105508263354,0.003818855281738132,0.0007291827831429614,0,0.0,0.0,30.0,3.756966725146762,1.278705607462464,1.3090631814210951,0.012755511141205607
amp_max,0.0009876956498337303,0.0010584124770681227,5.6011848580673966e-05,1,0.0007732947031745,0.0007732947031745,24.0,4.311226823971004,1.7077235926819954,1.3309125088414744,0.0012152869616826047
phase_std,0.0014184516425572412,0.0019916778439574854,0.00019833903170555692,1,0.0023088552243441,0.0018953642658895,34.0,3.928232815321154,1.3950828265919835,1.2932178098265352,0.002511345323701114
i_mean,0.015472178648747534,0.04476655923023607,0.10020224126571173,2,0.05175277678100915,0.0021847435776377495,68.0,2.2841903571013873,0.4742631648830085,0.4342026053647723,0.2992353280334765
q_mean,0.03600848360585777,0.07448741641582295,0.2774187602152105,1,0.1200262565909588,0.023618081221651196,44.0,3.3213799310861765,1.0484133493407382,1.232883602907391,1.620281896011254
amp_mean,0.002238253022119274,0.0027044465819197868,0.00036570156572288094,1,0.0063843118348884,0.0009420674466577997,32.0,3.6393659503300353,1.1735233117919757,1.268109613954096,0.006258598744919809
amp_std,0.003653704274877767,0.0053158081598441015,0.0014128908196132566,1,0.0091619858213755,0.0091619858213755,48.0,2.3655947398007013,0.5583833106836251,0.6691791769625327,0.01668673180308049
amp_max,0.00239675112918986,0.0030516785476041785,0.00046563709789537743,2,0.005316192754981399,0.005316192754981399,34.0,2.860896260334394,0.6862579520292095,0.7162067158160892,0.007180517196077455
phase_std,0.00334687215356376,0.005475096185905583,0.001498833912245893,1,0.0096925884484115,0.0035576466004850994,57.99999999999999,3.152369148002586,0.9896035011048944,1.18563940553364,0.01399991153488124
i_mean,0.019109058739611436,0.05248299242387203,0.1377232246882104,2,0.0655643158042443,0.0082483615387108,57.99999999999999,3.2287135045331072,0.9709674165556583,1.1572781331140611,0.4563434888515891
q_mean,0.016955511654355312,0.10025497294397634,0.5025529799998714,2,0.1101142536734976,0.022381133832298047,52.0,4.148318147103566,1.5991998092863908,1.3350568280039412,0.35858019581961464
amp_mean,0.002421469740552603,0.003307961697969446,0.000547130529761645,2,0.00592276641112415,0.00324914764633755,42.0,2.6403258794264373,0.6422439681870067,0.7633218680606354,0.007329361968632346
amp_std,0.0032237203109453778,0.003700599664744932,0.0006847218939355151,1,0.0091619858213755,0.00025964451627000056,22.0,3.7550586432400115,1.245210800872225,1.271611863836208,0.012980065875371078
amp_max,0.002417729021819251,0.0028655127025084973,0.0004105581524118776,2,0.005316192754981399,0.0023928888816992,34.0,3.6248971498306513,1.1784332181718733,1.2086299658548072,0.00730303736634947
phase_std,0.003469837518308651,0.005566552363884394,0.001549325260993347,1,0.0096925884484115,0.004471881126726899,60.0,3.2231210939862334,1.0039045011931176,1.1964783650772828,0.015045797642044468
i_mean,0.014636591589694103,0.06845717684730707,0.23431925309517376,2,0.08211690198032755,0.008365243392156847,44.0,3.613449425075535,1.2344275752729423,1.3262754172605935,0.26760688860285164
q_mean,0.01845481051031884,0.11747397109802346,0.6900066942769625,3,0.13588038265918645,0.008898395683537563,56.00000000000001,3.2390783570324255,1.0413995120956416,1.208268115379224,0.425621790360784
amp_mean,0.0219768789821454,0.02298086196578544,0.02640600083452419,0,0.0,0.0,10.0,4.379506095856131,1.789489642655546,1.3415076586459649,0.6012852461150324
amp_std,0.0021165578860944463,0.0024423208195944474,0.00029824654929122465,1,0.0062367909063744,0.00015053096156429982,26.0,3.7264552032704668,1.2224142333251162,1.2775006802288558,0.005595700080224631
amp_max,0.17332076085531448,0.20578531043316342,2.117379699503672,0,0.0,0.0,30.0,3.680330900685451,1.226097165862048,1.2942646380453815,37.524890641948595
phase_std,0.0022058949874765896,0.002886212581694645,0.0004165111533366234,0,0.0,0.0,42.0,2.80025941172878,0.6986305640145164,0.8556465309308997,0.00608198714432958
i_mean,0.02776677800894609,0.09177278961459263,0.42111224568221406,2,0.11331527475571934,0.037360640249743046,52.0,2.6626645829736413,0.7044334366238502,0.9563622134209747,0.9636969833709638
q_mean,0.01769048332796031,0.11917483980495344,0.7101321221268158,4,0.13273657370890155,0.003376434426661974,57.99999999999999,3.8958110740466294,1.3133979124403519,1.2830822036549545,0.39082513622256015
amp_mean,0.10811444282025523,0.15892980141158689,1.262934088836322,1,0.2394575917999821,0.091942742209705,52.0,2.9451534476061982,0.9312864210397291,1.1495176987530258,14.608913785146255
amp_std,0.004506471326438049,0.007086948737797665,0.0025112421206085955,3,0.010456295433531132,0.0011166769095205,46.0,3.749445037035378,1.2661173529136376,1.2925584675707968,0.02536677257499545
amp_max,0.1647034674233221,0.31310198656855237,4.901642699658697,1,0.4550994643767045,0.3142092657782522,48.0,3.155969674360062,0.9381841156585026,1.138787705041238,33.90340100194418
phase_std,0.003604774092509225,0.00560188575317699,0.0015690561995823668,1,0.010474755366591,0.010474755366591,42.0,3.314872784432601,1.0928200938695443,1.2882321607937437,0.016238578525007024
i_mean,0.029202234103683812,0.08730433077711665,0.38110230862200983,1,0.1331852173077335,0.0314348205645765,38.0,3.59729192486062,1.1704978205805263,1.2624504573555577,1.0654197035312911
q_mean,0.027521797262933037,0.08441185263048692,0.3562680432255521,0,0.0,0.0,50.0,3.7265875038350242,1.2938195190174584,1.3350968579517177,0.9460894742691027
amp_mean,0.100536787406672,0.1589649012455751,1.2634919914007725,1,0.2394575917999821,0.07930684389924492,50.0,2.809560366392167,0.8913621255530555,1.1264205104535743,12.633164037383793
amp_std,0.003168328381267577,0.009753760283643798,0.0047567919835393565,3,0.012453872341429265,0.0022308596828102332,54.0,2.146041451831781,0.4548627416754603,0.4674558634783758,0.012547868142361432
amp_max,0.12687501370255605,0.2645121770548101,3.498334590513761,1,0.4550994643767045,0.01075759162919021,26.0,3.8454341958194864,1.3158852687038145,1.2831233028264262,20.103106685293806
phase_std,0.007577030237740983,0.015158570535624064,0.0114891130341745,2,0.02143658539184415,0.0014976799316544012,46.0,3.2566976523245112,0.983920670585364,1.15711897563928,0.07174856294894974
i_mean,0.024376126340371024,0.046297855400671384,0.10717457073507383,2,0.0676096630940457,0.002385436449465747,52.0,2.305967589962373,0.5781365048558981,0.8241635686114157,0.742729554473925
q_mean,0.021881856070823075,0.045838699426385666,0.1050593182551265,1,0.0523925411738648,0.011524345778766397,56.00000000000001,3.9736377857941663,1.410399137318749,1.322748232358287,0.5977316270449952
amp_mean,0.038132886624000856,0.06855744569469979,0.23500616800908558,1,0.0901742509010567,0.0041396387636602056,50.0,3.413017749942902,0.9950401759895419,1.0732674263747493,1.8173693343915018
amp_std,0.004629869951987645,0.007482701675515275,0.0027995412182379555,1,0.0122295216300688,0.00039147058945349957,57.99999999999999,3.716836576720065,1.2632795370539585,1.3124592522952294,0.02677471769754042
amp_max,0.057355932828287354,0.13875746241436007,0.9626816687836274,0,0.0,0.0,34.0,3.661408274368166,1.229629307661008,1.293007983513231,4.109432900944293
phase_std,0.007456305542878166,0.015269808320897683,0.011658352307847805,2,0.02143658539184415,0.006798548139190601,50.0,2.4540327782983486,0.6250424139421823,0.8084817015213219,0.06949442176804327
i_mean,0.022000854218562634,0.04180002347111822,0.08736209810930169,1,0.0676104645392734,0.0490298938022588,48.0,2.640982099205207,0.7358247787429006,1.0019516218074114,0.6050140936260212
q_mean,0.08219247418179024,0.10017016468633079,0.5017030946643316,0,0.0,0.0,18.0,4.0343203595109,1.4127138680387643,1.2969822130015172,8.433143285477584
amp_mean,0.10346221519465149,0.21580011042980715,2.3284843830758484,1,0.3045466200306863,0.018329537577109478,50.0,3.5766408560744027,1.2489827643506521,1.3128275954224773,13.373105273042972
amp_std,0.0020566358243010014,0.0022660920699794566,0.000256758663481189,0,0.0,0.0,20.0,3.865314767635555,1.307530509309055,1.2891228059581996,0.005282574499232504
amp_max,0.029927443861328066,0.07867550700768258,0.3094917701457955,2,0.1066637666533628,0.02368702012395965,48.0,2.3854467947741202,0.541106629660327,0.6481081115462709,1.1195596333192053
phase_std,0.0028197955969821538,0.007202264632517366,0.002593630791840525,3,0.007271035704030566,0.0005704850460927667,56.00000000000001,4.127704838348137,1.5307894622512064,1.3551122033074363,0.009919682438040747
i_mean,0.02054186537375502,0.040889395694596514,0.0835971340134644,1,0.0676104645392734,0.004784993083386396,46.0,2.7524960670074807,0.8257569623589764,1.098961187003803,0.5274128207277556
q_mean,0.21135827659553827,0.3425446093933856,5.866840471223355,2,0.4863200151899536,0.01456797063947357,56.00000000000001,3.788927211658819,1.2723927530476786,1.301911081376233,55.79549499077473
amp_mean,0.027245204918671148,0.27289578731306025,3.7236055366607506,1,0.3045466200306863,0.09386655371379368,46.0,3.4503180782497163,0.9513585153842472,0.9572907357778878,0.9278186008423026
