Sample,Method,Dataset,Window,Signal,Median,STD,RMS,IQR,Skewness,Kurtosis,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,MotionDuration,FFTEnergy,SpectralCentroid,Bandwidth,SpectralEntropy
median_motion_000,median,motion,0,amp_mean,0.037238103462777505,0.20115980064981293,0.2356453749856702,0.0865225695023617,1.9423232826960588,2.562067777088857,14.215358144547103,2,0.5292394998905378,0.5043534546634068,23.4375,60,1325.9647402114256,0.38250073469705737,0.6488650832621577,4.299951166800723
median_motion_000,median,motion,0,amp_std,0.0025863034248018,0.18103266130153212,0.19520036879241948,0.0280414955283639,2.5867974344303124,4.972327769092377,9.754415098034322,1,0.6575104046522445,0.6575104046522445,12.890625,33,1073.8998161089776,0.30050028075750257,0.44538565610399,4.089736832829537
median_motion_000,median,motion,0,amp_max,0.00894726684718225,0.23490561160339876,0.2637441353012351,0.07191928043886198,2.0724253737235765,2.97690951174853,17.807608039883824,2,0.6072186970223651,0.42362801781643966,20.703125,53,1808.1428308245745,0.6376923956448165,1.0260069162598036,4.935090985272416
median_motion_000,median,motion,0,phase_std,0.03862619256864205,0.2385224571792182,0.2714294065193903,0.09541713504800792,2.2309643849024794,3.6937107660740427,18.860524217207917,2,0.580927280989559,0.4031287310317831,20.703125,53,1864.2570687886137,0.5730787169471366,0.9554611866044468,4.808055998542592
median_motion_000,median,motion,0,i_mean,0.0274055499054493,0.022854344691351138,0.03433154751489636,0.046073575283207026,0.26271151354535904,-1.2653602647403108,0.30173571962050205,6,0.053664856546170724,0.028330021643621434,50.78125,130,17.115080142762494,0.8673727098019876,1.1883103078226784,5.394809916788868
median_motion_000,median,motion,0,q_mean,0.0239533811398702,0.02022784318771407,0.03170857076570515,0.03707701171381157,0.288281527998775,-1.147667835831978,0.2573909657609552,6,0.04967320390270475,0.028416426127642985,49.609375,127,13.407525690082826,0.4648262580065687,0.7751788655780835,4.43009379794989
median_motion_001,median,motion,1,amp_mean,0.06206084137459605,0.19289312872627984,0.2486703242775374,0.20782490254087804,1.7491153012588336,2.1206257668794466,15.830254125131676,3,0.43816731123540226,0.4039934029622381,32.03125,82,1219.2237662465527,0.30849971737873827,0.42645370980090747,4.077237306935434
median_motion_001,median,motion,1,amp_std,0.00413440731975455,0.044001614800065016,0.04643266103029413,0.006764625018809699,7.8220302383102975,69.0842327515808,0.5519339546506739,1,0.0288337114282295,0.0288337114282295,21.875,56,63.40932393460722,1.6376262018661647,1.3799409251243815,6.688936511736338
median_motion_001,median,motion,1,amp_max,0.16978612847454067,0.2337983060420887,0.32296321151441776,0.31269281697160467,1.1386163210337514,0.4719049739072889,26.702140413876876,5,0.39560237681178406,0.29899244710011713,44.921875,115,1791.1114795540161,0.834819666989281,1.1628318394988992,5.319795079247676
median_motion_001,median,motion,1,phase_std,0.030782842665270753,0.23644509390383436,0.2759987298679655,0.10022106636431102,2.154706206709349,3.439540141565299,19.500876515514925,2,0.580927280989559,0.5546189089578131,23.828125,61,1831.936914200559,0.2973595530782335,0.4483532500184743,4.044543587300442
median_motion_001,median,motion,1,i_mean,0.033311933429249,0.022075482983669677,0.040323287604779316,0.0393971299421987,0.18046452815388947,-1.2379760675637215,0.41624768595398376,5,0.06030225095849495,0.03936735026562168,49.21875,126,15.96870200018301,0.42754599019316664,0.7318231943083674,4.41697642289448
