Signal,STD,RMS,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,SpectralEntropy,SpectralCentroid,Bandwidth,FFTEnergy
amp_mean,0.20115980064981293,0.2356453749856702,14.215358144547103,2,0.5292394998905378,0.5043534546634068,23.4375,4.299951166800723,0.38250073469705737,0.6488650832621577,1325.9647402114256
amp_std,0.18103266130153212,0.19520036879241948,9.754415098034322,1,0.6575104046522445,0.6575104046522445,12.890625,4.089736832829537,0.30050028075750257,0.44538565610399,1073.8998161089776
amp_max,0.23490561160339876,0.2637441353012351,17.807608039883824,2,0.6072186970223651,0.42362801781643966,20.703125,4.935090985272416,0.6376923956448165,1.0260069162598036,1808.1428308245745
phase_std,0.2385224571792182,0.2714294065193903,18.860524217207917,2,0.580927280989559,0.4031287310317831,20.703125,4.808055998542592,0.5730787169471366,0.9554611866044468,1864.2570687886137
i_mean,0.022854344691351138,0.03433154751489636,0.30173571962050205,6,0.053664856546170724,0.028330021643621434,50.78125,5.394809916788868,0.8673727098019876,1.1883103078226784,17.115080142762494
q_mean,0.02022784318771407,0.03170857076570515,0.2573909657609552,6,0.04967320390270475,0.028416426127642985,49.609375,4.43009379794989,0.4648262580065687,0.7751788655780835,13.407525690082826
amp_mean,0.19289312872627984,0.2486703242775374,15.830254125131676,3,0.43816731123540226,0.4039934029622381,32.03125,4.077237306935434,0.30849971737873827,0.42645370980090747,1219.2237662465527
amp_std,0.044001614800065016,0.04643266103029413,0.5519339546506739,1,0.0288337114282295,0.0288337114282295,21.875,6.688936511736338,1.6376262018661647,1.3799409251243815,63.40932393460722
amp_max,0.2337983060420887,0.32296321151441776,26.702140413876876,5,0.39560237681178406,0.29899244710011713,44.921875,5.319795079247676,0.834819666989281,1.1628318394988992,1791.1114795540161
phase_std,0.23644509390383436,0.2759987298679655,19.500876515514925,2,0.580927280989559,0.5546189089578131,23.828125,4.044543587300442,0.2973595530782335,0.4483532500184743,1831.936914200559
i_mean,0.022075482983669677,0.040323287604779316,0.41624768595398376,5,0.06030225095849495,0.03936735026562168,49.21875,4.41697642289448,0.42754599019316664,0.7318231943083674,15.96870200018301
q_mean,0.01794326421843148,0.03437140826523652,0.3024367887707058,6,0.04829441906830837,0.024565118764919097,50.78125,4.111749704282934,0.31166951442029417,0.4584890090677591,10.550009097295545
amp_mean,0.13572316868043713,0.19063501580222625,9.303477567978252,3,0.3537709175347068,0.3015496324191312,34.765625,4.0659935534230565,0.3304760011076779,0.47514236209980565,603.6120027752277
amp_std,0.0040693190441914015,0.006020121330963834,0.009277916374918597,6,0.009069923388389316,0.003975773112973134,37.890625,6.077328529492542,1.183535357807787,1.2889647356101597,0.542568502068709
amp_max,0.1649219006281868,0.22741901316397659,13.240168332410102,4,0.33961526140063814,0.21989394743531837,42.578125,5.2034570253812,0.777330492072327,1.141864074105793,891.2479893899598
phase_std,0.09380692073642424,0.1197562217846144,3.6714374799681924,2,0.24942632359250855,0.17057742526986053,29.296875,5.401807452669749,0.8582027054665435,1.187375222658269,288.3426930878231
i_mean,0.01919743813005679,0.03279294108694472,0.27529650819374774,5,0.047284309246559644,0.020923513322642102,38.671875,4.805353574061192,0.6615294715227577,1.026792113757026,12.076287945259466
q_mean,0.013065480726477395,0.028975407752081444,0.21493100912624166,7,0.038287235915466074,0.021526908516623058,46.484375,4.397541805746956,0.4167207599990874,0.6519885632060232,5.593714982105676
amp_mean,0.15138617588105274,0.20612277737988757,10.876569434828465,3,0.3956582745924753,0.37604766528340045,34.765625,4.088277430344233,0.32489991075434566,0.4486173506252601,750.9695657783936
amp_std,0.017977858661754702,0.021183435473045874,0.11487691224081875,4,0.027068811148954423,0.0217943448816535,26.171875,4.187033423157212,0.32530458171053234,0.5006698928772055,10.59072818682441
amp_max,0.11419730689349941,0.1406331102866323,5.0630839574763735,3,0.28064781168763403,0.07220246410421982,30.859375,5.971220320431566,1.0934122460438354,1.2965392895088024,427.290790026104
phase_std,0.08519552706539579,0.1096931486684818,3.0803422373902465,2,0.24942632359250855,0.2124917859199565,26.953125,4.250263350727264,0.3719621520427759,0.6172947251844981,237.83916054061348
i_mean,0.015747744244049417,0.028818422153495504,0.21260837258677262,8,0.03909793062730861,0.0163936437659314,44.921875,4.243197014084119,0.33185607766347675,0.48015499778844506,8.126182702136788
q_mean,0.012153747948240912,0.019668108655618296,0.09902963151083706,6,0.03320165998590086,0.014303053799199467,38.671875,5.297413582084435,0.7885970901278473,1.1091041321332695,4.840178581499234
amp_mean,0.12003007636572274,0.15013888083800178,5.770670986057651,1,0.3816850050984369,0.3816850050984369,19.53125,5.413805651646793,0.8569516000229226,1.1733596875228922,472.0833511517765
amp_std,0.12409471801864763,0.13473404346512255,4.6472351919261525,2,0.30394730893576233,0.03484394739798679,18.75,5.840971378745902,1.0454121558273008,1.2920514002946732,504.57616083946596
amp_max,0.09001642437425202,0.11869932058781787,3.6069193492504485,3,0.19993123706289972,0.16892041398644886,32.8125,4.401081817956401,0.44105071507008037,0.7914500864002575,265.51714155479755
phase_std,0.02619693261861401,0.04964518893415114,0.630949064782736,6,0.07429656707933165,0.026235305492342303,49.21875,4.565506189231995,0.4514390840342412,0.7491463661828013,22.487963416301273
i_mean,0.017289135612625108,0.033881742993288576,0.2938809621153944,7,0.050645820033176935,0.02024138585005999,40.625,4.374339115831477,0.4005362333914797,0.6179074634762812,9.794815183146856
q_mean,0.009722881664186698,0.015600744467100962,0.062306106349512,8,0.025163502426455826,0.0138006335039141,44.140625,4.3288460367401225,0.35881199166832756,0.4791557924174546,3.0977027746904655
amp_mean,0.10742143191251183,0.14366220539414642,5.2835402902297375,2,0.3150848021100212,0.3042376054796362,25.390625,5.274116872567522,0.7646522470796505,1.0959996870932724,378.11479099190507
amp_std,0.1472049738940877,0.17111817472511742,7.496046008641489,1,0.5380987704446335,0.5328606111861659,22.65625,5.02620791757443,0.731143231611079,1.13145515455051,710.049945877666
amp_max,0.08885857800918721,0.11274764294404825,3.2542799332962797,1,0.3527368317141597,0.3340906402843678,16.40625,5.045412159148422,0.6712540125797603,1.0437463103281526,258.72830616565034
phase_std,0.031545198034733914,0.05865058927540207,0.8806122553220885,8,0.07880975415185076,0.028959249950234127,55.859375,4.679557901324496,0.47845960871694937,0.7520145335320533,32.60733846697306
i_mean,0.01691010866842101,0.036361522424570886,0.3384730401363383,8,0.05192551743702939,0.02253760356745945,48.046875,4.94086360594425,0.6158905152460673,0.9570174047064325,9.36999829127556
q_mean,0.011561651504244184,0.023723770607451893,0.14408122670975956,10,0.033568957944290274,0.01070137262985806,51.5625,5.30286629534144,0.7639123727710326,1.0964910455675174,4.380079786929941
amp_mean,0.17696105690461872,0.27261427769445057,19.025547367133953,4,0.4168271932812796,0.3545101484818961,48.4375,5.220225370471366,0.7424824302812987,1.0887417533963208,1026.1212507083128
amp_std,0.13805155004699485,0.17543252123256925,7.87880179354006,2,0.3327371033888773,0.20750580234976518,27.34375,5.254451025429948,0.799666555301662,1.1462617457394955,624.4884411546252
