Signal,STD,RMS,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,SpectralEntropy,SpectralCentroid,Bandwidth,FFTEnergy
amp_mean,0.04997237664390855,0.06401075686198805,1.0489285104754051,5,0.12685285405281352,0.05608850855430446,35.15625,4.2311629338623895,0.3691281095364465,0.5571889533167416,81.82948078440384
amp_std,0.06878055291741035,0.09916531605466378,2.5174425365046673,7,0.15272496031868688,0.09582608300224096,42.1875,4.926666898097311,0.6098226108877591,0.9257146087037091,155.0169059738896
amp_max,0.03720736905918213,0.05492197542993583,0.7722043865923776,10,0.07998872750428235,0.044195257760069995,51.5625,4.830639155414625,0.5107322013030591,0.7012295509324576,45.363631427172805
phase_std,0.021328510144583104,0.031240037032402124,0.24984061792917917,5,0.049450213457656544,0.036466907962896145,46.875,4.977356605892394,0.6514774231793881,1.0064324812619654,14.906205031964841
i_mean,0.24165330165455054,0.43114189194230396,47.58613273282286,5,0.6338391692515809,0.4048915656879883,43.359375,5.174405394421289,0.7664250814179585,1.1267622167731108,1913.4947116630076
q_mean,0.2523717302124997,0.5323657337382832,72.55379826142736,7,0.763975523257772,0.2669883531659392,44.140625,4.29924892561242,0.40014267056078845,0.7077519058268633,2087.040702842155
amp_mean,0.05250090880193342,0.0891282504389652,2.0336243267355907,9,0.12784904737339073,0.056640717216073874,48.046875,4.235597052238763,0.3757631046025629,0.5120801599457074,90.3198991330714
amp_std,0.036848760860517984,0.06762507861744961,1.1707267220521576,8,0.0957424492375668,0.05123176645336547,48.046875,5.869658690090756,1.1072722476493266,1.2853877289735054,44.48976786207298
amp_max,0.06541027578604716,0.10074647420543273,2.598362128595436,6,0.15160715577364495,0.08135510987188468,41.015625,4.306072880274048,0.40403867097398366,0.6719376493508639,140.19788052250004
phase_std,0.01966425644162354,0.0294689638804052,0.22231547703926435,7,0.04501514835390063,0.02443957905663655,45.3125,5.546428201771276,0.8717859887568685,1.140259407918817,12.67041898959896
i_mean,0.15803170364784244,0.30018234628070145,23.06801690075826,8,0.4090824505067327,0.2082263569521472,57.8125,4.7550930683861345,0.5679747184439664,0.8957139542628004,818.3445044655492
q_mean,0.16019258638997758,0.30715065663030094,24.151430622316813,6,0.4452903324716824,0.26175607195392203,54.296875,4.224850221728911,0.33476471509053635,0.47985006233478017,840.8813348798951
amp_mean,0.05313571227954,0.08905599086850166,2.0303281944500866,7,0.1257123660073946,0.07497831962774404,48.046875,4.528488289184983,0.4840224835763075,0.7969388132565352,92.5171532926577
amp_std,0.07606835510478753,0.10440908349379888,2.7907217192998566,7,0.14340142548825505,0.07281792867122028,41.40625,4.030292922564355,0.31082002459956093,0.4879988110807123,189.60857957198095
amp_max,0.07664737642815285,0.1355293201228546,4.7022583329185785,5,0.210985784132638,0.141987547159953,46.09375,4.53044697486555,0.4999668426621683,0.8121322536328178,192.5057804245312
phase_std,0.013509895445495848,0.02036058026405057,0.10612562654434446,8,0.02999291637126375,0.01420527466917524,37.5,5.080819414763171,0.6512836151711987,0.9462005836984413,5.980667373642878
i_mean,0.14019512488951724,0.25838732960923855,17.09158709826388,9,0.36881440905813356,0.13265794045829948,55.078125,4.751686219953598,0.5634348660602975,0.8804663707280339,644.0421654778397
q_mean,0.1295732100689608,0.2715114031139286,18.87192115734892,8,0.37223325176733657,0.1416929157118219,56.25,4.970192999200699,0.605173714083354,0.9485007436317571,550.145171627029
amp_mean,0.05198924382862406,0.07029769332528243,1.2650920158349972,4,0.11762843405608192,0.06634514172787627,36.328125,5.430419335650544,0.8630520558288652,1.1936637122641398,88.56528919477383
amp_std,0.09157447552826131,0.11809424489844411,3.570240173602225,4,0.2244701322072118,0.16171437840965308,35.546875,4.006520792777509,0.3513560192266155,0.6204640700163176,274.78860262979714
amp_max,0.07625930357521901,0.10111958169607282,2.617643469411519,3,0.18368361205325445,0.1515236379597648,34.765625,4.219609783176578,0.37340264573520315,0.644428758205919,190.56152649220542
