Sample,Method,Dataset,Label,amp_mean_Median,amp_mean_STD,amp_mean_RMS,amp_mean_IQR,amp_mean_Skewness,amp_mean_Kurtosis,amp_mean_Energy,amp_mean_PeakCount,amp_mean_PeakHeight,amp_mean_PeakProminence,amp_mean_ActivityRatio,amp_mean_MotionDuration,amp_mean_FFTEnergy,amp_mean_SpectralCentroid,amp_mean_Bandwidth,amp_mean_SpectralEntropy,amp_std_Median,amp_std_STD,amp_std_RMS,amp_std_IQR,amp_std_Skewness,amp_std_Kurtosis,amp_std_Energy,amp_std_PeakCount,amp_std_PeakHeight,amp_std_PeakProminence,amp_std_ActivityRatio,amp_std_MotionDuration,amp_std_FFTEnergy,amp_std_SpectralCentroid,amp_std_Bandwidth,amp_std_SpectralEntropy,amp_max_Median,amp_max_STD,amp_max_RMS,amp_max_IQR,amp_max_Skewness,amp_max_Kurtosis,amp_max_Energy,amp_max_PeakCount,amp_max_PeakHeight,amp_max_PeakProminence,amp_max_ActivityRatio,amp_max_MotionDuration,amp_max_FFTEnergy,amp_max_SpectralCentroid,amp_max_Bandwidth,amp_max_SpectralEntropy,phase_std_Median,phase_std_STD,phase_std_RMS,phase_std_IQR,phase_std_Skewness,phase_std_Kurtosis,phase_std_Energy,phase_std_PeakCount,phase_std_PeakHeight,phase_std_PeakProminence,phase_std_ActivityRatio,phase_std_MotionDuration,phase_std_FFTEnergy,phase_std_SpectralCentroid,phase_std_Bandwidth,phase_std_SpectralEntropy,i_mean_Median,i_mean_STD,i_mean_RMS,i_mean_IQR,i_mean_Skewness,i_mean_Kurtosis,i_mean_Energy,i_mean_PeakCount,i_mean_PeakHeight,i_mean_PeakProminence,i_mean_ActivityRatio,i_mean_MotionDuration,i_mean_FFTEnergy,i_mean_SpectralCentroid,i_mean_Bandwidth,i_mean_SpectralEntropy,q_mean_Median,q_mean_STD,q_mean_RMS,q_mean_IQR,q_mean_Skewness,q_mean_Kurtosis,q_mean_Energy,q_mean_PeakCount,q_mean_PeakHeight,q_mean_PeakProminence,q_mean_ActivityRatio,q_mean_MotionDuration,q_mean_FFTEnergy,q_mean_SpectralCentroid,q_mean_Bandwidth,q_mean_SpectralEntropy
moving_average_motion_000,moving_average,motion,1,0.04414075099720355,0.20877731890345672,0.2641672046176686,0.25280964799641586,1.402990924627278,1.0686956769525615,17.86478387085138,2,0.5530283605409618,0.5219587929821594,38.28125,98,1428.2770114569726,0.6491504238753797,1.040451366379315,4.935058528304136,0.01519235472936685,0.2233112049611092,0.26820364398501234,0.2863616236311728,1.5375521088829174,1.2989843614673457,18.414897829590846,3,0.4867744269606795,0.385546980240447,32.03125,82,1634.0607754155005,0.594320428609336,0.9719944182092022,4.75563975681116,0.0,0.2740585066020656,0.3093431503067458,0.10219465582181861,2.018341780072093,2.7853848280897875,24.49745526827569,2,0.7257036612848443,0.4835175539350236,21.09375,54,2461.1165908800904,0.6556242776182214,1.0443124914161892,4.978740654618697,0.0227934603853258,0.24442506520351706,0.2781374678146202,0.07295862153017697,1.9941019212821791,2.605076610693991,19.804275456596194,1,0.8529780308655348,0.8321148740684197,20.3125,52,1957.651193612403,0.7063081355578122,1.0887450282663056,5.104397883697629,0.023689572884085103,0.019598974669547055,0.029848735973259856,0.03841033493734097,0.19623522743658725,-1.3375652951599726,0.2280824420355525,7,0.046374091265448045,0.020404565727458985,53.90625,138,12.586513761142815,0.8418721479324912,1.1725015116159616,5.378424825963013,0.028617579555232753,0.04087742528545164,0.056055383706368755,0.0275702079905094,1.8466309698329517,2.8218475187828886,0.8044047468718674,4,0.07705727526764437,0.05325139379280493,30.46875,78,54.754089241675786,0.40282890401120974,0.7174187664368882,4.3111004054110404
moving_average_motion_001,moving_average,motion,1,0.20484022406692598,0.20297766726432798,0.31683509573417507,0.3256173486721995,0.7336703896560399,-0.26664032106589275,25.69842633955427,4,0.4866821762888387,0.31285348823380454,43.359375,111,1350.0322008443873,0.5909646007456038,0.9658419142849891,4.666256848789447,0.0132726216145539,0.12972665692909352,0.15549591636420235,0.10795819753352022,1.424418342485801,0.6173395942399504,6.189818881521411,2,0.34192879935237164,0.3360403965240414,25.78125,66,551.404977081003,1.1545282483734145,1.3270839734564075,5.94196300642318,0.23284646900543304,0.2655310202256111,0.38594037391362895,0.3699916105338203,1.0178965723341824,0.34576221104831184,38.13119288744748,4,0.5522045799011565,0.44041221858179297,48.046875,123,2310.310522493408,0.8394806164730978,1.1641717599709547,5.3282799662301175,0.028107179036607997,0.2476605185140701,0.29192815191894994,0.1532726570975261,1.7359215641976544,1.7423296582251169,21.81684374600026,2,0.6617771343567761,0.6513455559582185,25.390625,65,2009.849033983358,0.28864911803844734,0.4479627814373064,3.9503959693232398,0.03223574586631925,0.08697917335896656,0.10613157852564943,0.03966872371696373,2.407159556501779,4.483364334171356,2.8835614618485996,2,0.2045355461681926,0.19116087129100215,17.578125,45,247.9022533905694,0.2741596703422581,0.3837057722132112,3.9715970656413258,0.02600037827927185,0.039590304713152336,0.055794293172419435,0.0250903158081466,2.045699080481219,3.319974052160404,0.7969288065561317,3,0.08975868229118213,0.0627661368937477,27.734375,71,51.36030741232891,0.26913795389479195,0.36666088268517827,3.98123074759036
moving_average_motion_002,moving_average,motion,1,0.19791450889759005,0.1935469597554486,0.2982434116575419,0.3809396180323781,0.3258881146817672,-1.3343344202806895,22.77097794486528,5,0.4950176655363309,0.225500807135192,42.578125,109,1227.4970848781265,0.568775104039521,0.9416245248453011,4.723527357365857,0.0009448874905023999,0.06063838517304964,0.06406869486463604,0.008297243189227074,3.5711738714089867,11.530030518855542,1.050828201384407,0,0.0,0.0,10.546875,27,120.48838223749695,0.31181723849363585,0.3783565217444162,4.246530337114236,0.09336105719692794,0.19543042715070028,0.2832211345706287,0.33046288733460083,0.6772737528695458,-0.825859343911413,20.534838033273388,3,0.47498605128881916,0.3378605108386366,43.359375,111,1251.4870347287188,0.788757747376106,1.1563737205323135,5.181810818950419,0.03118472196998885,0.15049389860593215,0.19033682983109873,0.17428297382683136,1.2445080149029804,0.2564458386738191,9.274395850279076,4,0.3422273258915467,0.17661504405164677,35.546875,91,742.1283169380239,0.8109908940786522,1.1604210754617579,5.337963101021353,0.01925356966174835,0.08901279070503039,0.10425510962452939,0.0384625719865038,2.4373357825278705,4.522721338689771,2.7824967380025956,3,0.15560153163969423,0.1197675257479367,23.4375,60,259.62983268379946,0.33618504204293154,0.5844010861785459,4.155910074038023,0.0169189657360573,0.008923790918981774,0.02002746506574626,0.012478460363129672,0.15798862987257997,-0.6994560972440591,0.10268143538167984,9,0.02663879690350711,0.011418349039848912,44.921875,115,2.60941204563166,0.7469248815019601,1.061215704791215,5.196616724351455
moving_average_motion_003,moving_average,motion,1,0.1180467956551231,0.1871690113090067,0.2701184434776673,0.3291708573707629,0.7536973812708082,-0.8990181288580987,18.67877721774022,4,0.5185814724961553,0.3760140883913764,36.328125,93,1147.9363973588975,0.29620960000089847,0.343488782690358,4.027408972369701,0.0054226751724003,0.11117500710690807,0.13346757109158147,0.0842223761695333,1.2899391508927769,-0.011559933786714272,4.560279688470107,4,0.19704439016206607,0.16277690214131915,32.03125,82,405.008620086542,0.2675847448846487,0.2897241613644887,3.767997267149318,0.05860097091153105,0.1510982696233333,0.19909351496327773,0.14787534933206475,1.633256980099147,2.4324708027473134,10.14738629131082,4,0.3286221766299821,0.1006826618972633,37.5,96,748.0824508670751,0.9695738241427186,1.252797989097933,5.651616156770853,0.0272384935778008,0.13566292011783837,0.1686645153727173,0.12252837327031206,1.5819140884343859,1.3451987962135687,7.282615998953878,3,0.2994443552393898,0.2693454371744599,31.640625,81,603.0762648776375,0.2921665399279359,0.3992866011150239,4.036658626102781,0.0183093999249296,0.009037610498033664,0.02148683662425064,0.008793454828526599,0.7967997580700809,0.4990926655274657,0.11819114191801308,7,0.028741452926773627,0.011788808302928316,41.796875,107,2.6764335346527743,0.47708419387673767,0.7274850947272602,4.701550715644721,0.0110067765026592,0.008099639221342807,0.014670301619569365,0.009453765156291101,0.6385007358132531,0.04996222607805967,0.05509574389993972,8,0.021612176855785002,0.009006062182356039,40.234375,103,2.149668865394216,0.8415302719602676,1.125808122450206,5.468229102177116
moving_average_motion_004,moving_average,motion,1,0.03899684344974805,0.14388960993704994,0.18110304541972047,0.09780608771326177,1.6232463762895313,1.121443128286721,8.396368143436117,2,0.2936267087701531,0.26615612765498015,27.34375,70,678.4166279742045,0.8605285034810396,1.1866929086148565,5.430792266397512,0.06830560347692391,0.1667897683442513,0.2151741272210003,0.2045426565467722,1.4883090718055092,1.7529767957437707,11.852775686481719,3,0.27718292682381723,0.16561080381908713,36.328125,93,911.5477988584405,0.8211525223554971,1.1811687222683236,5.24979635906601,0.14322823265442491,0.1286733642646292,0.19813692469924532,0.22196758772624742,0.6498177819732767,-0.43348260083368784,10.050109677894248,5,0.27985238662216544,0.1766959227936787,47.65625,122,542.5273409758429,0.7333853212881285,1.1086325224811457,5.037782325019789,0.027851076441966598,0.01825153629103977,0.03541358120225745,0.026014404024916452,0.03116809858502418,-0.5997452525645461,0.32105516379363397,7,0.05203342492890507,0.016434124246351912,46.484375,119,10.914647549583155,1.1393833371396407,1.3832705713670754,5.7905958878987605,0.02371539518484455,0.021886790931907096,0.03776562398774103,0.021834196809064354,1.592326502023323,1.7871072491233795,0.3651180429269608,4,0.06023042999222052,0.041486546227226,29.6875,76,15.69689578977064,0.4042017824110971,0.6324222721262556,4.3843451671656215,0.0097195635389837,0.007736182322140909,0.01267555007521298,0.010718153813572325,0.42516421988238945,-0.7380681402408569,0.041131409845563335,10,0.01811229900384655,0.00995704076301296,48.4375,124,1.9611158199582432,0.4097990696233876,0.5825903161917787,4.518297089883189
moving_average_motion_005,moving_average,motion,1,0.026132508312156848,0.16040605093762147,0.19510583804357629,0.14901713291119262,1.3425492097486211,0.14074678762066606,9.744969737903673,2,0.452000494960613,0.45051249004781535,26.953125,69,843.1112057254172,0.7557494351120594,1.1074281236799777,5.175358217851797,0.0881161116522034,0.18615476117559673,0.25449069763606563,0.22558402321709328,1.235147712733896,0.6840645039850126,16.579971886922593,3,0.41424494527539846,0.39159279095601923,42.1875,108,1135.506634971032,0.7958755925627118,1.1570855159666253,5.2468235902439435,0.12641216626342822,0.12607680212286587,0.19398244895771408,0.20835014326661336,0.7051698714220836,-0.27828076078741537,9.633072768929829,4,0.3050218525920391,0.18852777902187806,48.046875,123,520.8565847427407,0.6135576742194655,0.970721614862917,4.736551610093868,0.0376768116145971,0.02027453555807248,0.04008968549919762,0.03333901799428205,-0.14665486053465068,-1.1801077322167701,0.4114388181566915,8,0.05529111270067425,0.02038973871770539,53.90625,138,13.469504556631893,0.4348160847331259,0.6560609718120487,4.5925464219370316,0.02663827633349115,0.02224751637355527,0.03871222659705387,0.022791086011244698,1.3422439036050975,1.3344174505775692,0.3836509409540211,6,0.05326149704175604,0.03678251645795525,39.0625,100,16.218522195288642,0.5374423518934439,0.8480666868104063,4.768327499949805,0.01476016882877265,0.008529227763370307,0.017033841615780313,0.010424941973313251,-0.06984818472772406,-0.6749384817948489,0.07427885060902126,10,0.024087177433471142,0.008295624118396511,50.0,128,2.383757785728241,0.7548025861749587,1.078739751142131,5.28645714601616
moving_average_motion_006,moving_average,motion,1,0.2732866199362066,0.20014116191745823,0.3212612903661275,0.4091102534244107,0.03891109405591493,-1.497793399227321,26.421457072053574,4,0.5041684904971679,0.3948720621140282,51.5625,132,1312.542908681334,0.7850819968510209,1.1304696272920147,5.3240506988948795,0.0996080206826297,0.19893181042057823,0.28268532430526844,0.30951377315341994,0.6928071023156129,-0.9270118673355041,20.457214099859144,3,0.46354397374917006,0.2949440720828051,43.359375,111,1296.7468719546555,0.6234124539316863,1.0015965390708135,4.841359075645226,0.13322180304677667,0.11723646005158833,0.194080393942281,0.2148273563721722,0.26570957807920553,-1.2093063344346584,9.642803024074492,4,0.2966080137242823,0.20947690443549175,45.703125,117,450.37350397633344,0.5938655149342323,0.9448313472223071,4.845839395672527,0.0455475543744659,0.09259428106021433,0.11610183264501182,0.04389128752828578,2.3176078747942293,4.075205706484612,3.4507866991437655,1,0.3599290184383441,0.3304170535999317,15.625,40,280.94300938400886,0.28945216527197626,0.4464794276375998,4.024372576935366,0.01416082062995935,0.01300133528411169,0.021948904616750482,0.022274086373124377,0.44402984337622053,-1.025369886437352,0.12332912995205392,8,0.03268396541989804,0.017238011758135836,43.359375,111,5.538927559280834,0.406216751181888,0.5839524761227624,4.414530973421966,0.016577459229138898,0.008327411144335438,0.019020942411316404,0.010655566046858226,-0.16496419158759085,-0.3740448812727819,0.09261984005494145,9,0.025178568999144522,0.009786047783142045,47.65625,122,2.2723136773265455,0.5407884539191005,0.8287973476932791,4.70948930316961
moving_average_motion_007,moving_average,motion,1,0.195350699829651,0.19870942095775723,0.29933766431500275,0.39725769052106163,0.32376872775648957,-1.3846731566466106,22.938377543055683,4,0.48570704249143204,0.29646725024112414,48.046875,123,1293.8512176863624,0.5909238287282197,0.9841274042609203,4.720740021674926,0.06905668849562549,0.18129672521713022,0.24323086028453064,0.23418112103916344,0.9573254262012049,-0.5010462384223198,15.145280357056734,4,0.3731431409110737,0.25104759311998703,41.796875,107,1077.034200019703,0.4356768249201547,0.6934890077549416,4.263751985260997,0.1431065832839734,0.11810989552036613,0.199303294526765,0.21681392842900296,0.31091033369153953,-1.1175744186646472,10.168781621560946,5,0.25709161951009574,0.1376376025558572,47.265625,121,457.11055164100077,0.49611191499402174,0.8147159259315384,4.640148567769341,0.0452741241335718,0.1671550105762213,0.20848671378602576,0.10299647251048524,1.636424887960652,1.3564794587128626,11.127477715275834,2,0.47880924499587285,0.3980836183680754,25.78125,66,915.5633364072683,0.3712731687919443,0.6685963571113798,4.136822766990795,0.01138023883544845,0.009307624350439287,0.015337779848257608,0.011068386703623352,0.6666666037027608,-0.3245595079553394,0.060223357612445995,9,0.022094542490343344,0.010972102546315522,43.359375,111,2.8387466049410515,0.49356817654741336,0.7371599836411971,4.657872094351321,0.0106696544044929,0.009271382867314323,0.014309269888398545,0.014907248281280974,0.5411921235462545,-0.6736453919853607,0.0524173324131915,6,0.01881836543446415,0.011461446608036252,48.828125,125,2.8166460750282907,0.7730029977127424,1.137851819628634,5.158254793666648
moving_average_motion_008,moving_average,motion,1,0.0702089685343205,0.1377563155049551,0.1918337733282674,0.17977053031624612,1.035314441149917,0.019671548349438517,9.420850326876437,3,0.3397890053302091,0.3243409445140228,40.234375,103,621.8317594926591,0.30712046656612674,0.5216877882025253,3.7898645260091817,0.0925362950964425,0.17750769349751125,0.23831284334943223,0.22120072157619444,1.502856788594385,1.592722295227425,14.539010894154503,5,0.32971947644564825,0.2562359171846705,41.796875,107,1032.4649226438214,0.7909853981632265,1.129310877247279,5.329416645486455,0.1829636133576757,0.12490757522259081,0.23515899353618436,0.24009775849141357,0.1501876496541125,-1.2285618249764623,14.156736573683506,5,0.34383316565561967,0.15701817215810143,46.484375,119,511.24310630906615,0.2950035346373972,0.46048239716876055,3.9431084026592575,0.0341588692337834,0.1617886671682155,0.1979659545003218,0.1054325194321525,1.827235143817231,2.2010991833957387,10.032772900153212,2,0.44661402037935727,0.4369488458718327,26.171875,67,857.7211376783143,0.2710911436272126,0.39910471171813006,3.8512071920962434,0.01011960161512485,0.008602407990704752,0.013228318832178905,0.013495211136724874,0.6300305290077778,-0.27659237294778505,0.04479703529619944,10,0.019598134432650967,0.009068266574130119,50.390625,129,2.424870105693696,0.5734372866694205,0.889007133379759,4.908181950714265,0.00916638841269905,0.008114190139416343,0.01310886118859942,0.01201385232755195,0.5520003097735297,-0.6386258445855018,0.04399161386546386,6,0.01984729713509355,0.01275805930006845,44.921875,115,2.1574342951757433,0.5986223625931552,0.9796234562572571,4.854193657781809
moving_average_motion_009,moving_average,motion,1,0.10963628058837135,0.15759781011373816,0.22261594439395183,0.20589598169382597,0.9115831544580881,-0.41320802252217126,12.686811826793228,3,0.40173508880279846,0.3537496903218076,39.84375,102,813.8602405207163,0.40366838699234947,0.7495902940441113,4.027799190400603,0.24907812113578337,0.23343807419256798,0.34353873158270465,0.4693570779074855,0.4070293397033155,-1.309774052615483,30.21282818494812,6,0.4288094551204568,0.1400430624382241,50.0,128,1785.6374567161115,0.2961922012839445,0.4586909113714747,3.963010659109684,0.19697853139811733,0.12210096092826096,0.23932157536856968,0.20672273622680926,0.05302708868814961,-1.2713709537848468,14.66235300784486,7,0.3360864002536819,0.11372645292837516,48.4375,124,488.51162396160004,0.9143083536535395,1.228060849082594,5.4466540207765215,0.04570946911074055,0.1035630370930007,0.1353860474164354,0.10294381544399395,1.9565691053100336,3.739906134675696,4.692321749771596,2,0.234746586879938,0.2195821625799998,29.296875,75,351.42851700223747,1.0123007042761891,1.2470956328595695,5.713458758093873,0.0042271163086628,0.007977689420714558,0.010537456146870445,0.010753500380575124,1.2821667419944198,0.7664997046386794,0.028425723404087742,4,0.0205725469801722,0.017703517114981075,32.421875,83,2.0854691275465234,0.44638788583884287,0.6279008729212774,4.699943074150438,0.00843450178473295,0.009444432357701364,0.014166477998567998,0.0189831023755825,0.372851931387576,-1.3265712362433995,0.05137640931428125,6,0.023444620732052116,0.013035576806166016,44.140625,113,2.9228124242773603,0.4481994613331234,0.7537436209686541,4.481595790633303
