Sample,Method,Dataset,Window,Signal,Median,STD,RMS,IQR,Skewness,Kurtosis,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,MotionDuration,FFTEnergy,SpectralCentroid,Bandwidth,SpectralEntropy
moving_average_motion_000,moving_average,motion,0,amp_mean,0.0,0.010760819091797668,0.012037619079428774,0.0,1.6420136654970028,0.8894950230916523,0.007245213655071381,1,0.03085718733996,0.0010190128619496988,22.0,11,0.1446174177107682,1.2422460207996089,1.2693770606065315,3.7666873427711143
moving_average_motion_000,moving_average,motion,0,amp_std,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0
moving_average_motion_000,moving_average,motion,0,amp_max,0.0,0.04252635101011697,0.047329027520499826,0.0,1.7426628577512948,1.2938527375354294,0.11200184230181148,0,0.0,0.0,20.0,10,2.258258214864718,1.2928815800839741,1.2859262129850535,3.8463798749788114
moving_average_motion_000,moving_average,motion,0,phase_std,0.0,0.004483457672080877,0.0050161366343836255,0.0,1.629360312646618,0.8645610724026005,0.0012580813367402742,0,0.0,0.0,22.0,11,0.02510036074445841,1.3054130128200014,1.29555822768102,3.8423800729438216
moving_average_motion_000,moving_average,motion,0,i_mean,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0
moving_average_motion_000,moving_average,motion,0,q_mean,0.0,0.01882146854164572,0.02080265913619421,0.0,1.8208958474041517,1.5452749931517777,0.02163753135683422,1,0.0567545426912914,0.0005037021512296,20.0,10,0.44247719514807143,1.28778154375112,1.2813774849698336,3.8415407739433673
moving_average_motion_001,moving_average,motion,1,amp_mean,0.0064444115971519,0.01286996594401508,0.01778720016899076,0.023631634741370148,0.8329434308232517,-0.1076916713708429,0.01581922449258724,1,0.03085718733996,0.0302635891742419,42.0,21,0.20657103261784468,1.6352778083894015,1.3736125214314512,4.194448224352262
moving_average_motion_001,moving_average,motion,1,amp_std,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0
moving_average_motion_001,moving_average,motion,1,amp_max,0.0016427066402466,0.05057991473997932,0.06538297112597023,0.0952068646416387,0.6561665097698732,-1.3088159019461776,0.2137466456629728,1,0.1281342515873601,0.1281342515873601,40.0,20,3.1978964767961005,0.4834037817768499,0.6281636627923656,2.101206456584901
moving_average_motion_001,moving_average,motion,1,phase_std,0.0,0.006269886378845638,0.008328491799449934,0.012651900075557849,0.41075966953645204,-1.6677437706100802,0.003468188782675239,1,0.0148928540989318,0.0148928540989318,44.0,22,0.04913833117148552,0.6629360403664124,0.7889114662025495,2.7120744471503726
moving_average_motion_001,moving_average,motion,1,i_mean,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0
moving_average_motion_001,moving_average,motion,1,q_mean,0.027496746692725497,0.020384295362976052,0.03198796829283814,0.04249854826733595,0.1108915649808364,-1.405941115158981,0.051161505775180915,2,0.04368365728631095,0.025695863226698097,52.0,26,0.519389912534108,0.550732693419021,0.6943955496499817,2.4046311474001474
moving_average_motion_002,moving_average,motion,2,amp_mean,0.06393670886371475,0.055458264983806266,0.08753012207077153,0.1166622294960806,0.00385758007833945,-1.863534522307434,0.38307611348620824,1,0.1328249736466632,0.031065129902203614,50.0,25,3.8439537201884315,0.9387451612540298,1.1764964307788905,2.9014634501151986
moving_average_motion_002,moving_average,motion,2,amp_std,0.00216188084465045,0.013398163113023307,0.018347924036092766,0.027798949499100025,0.23986084521424741,-1.825794581181354,0.016832315821711533,1,0.0303478183603731,0.002208997262561803,46.0,23,0.22428367625601622,1.151432865669092,1.2626168609924002,3.5092992776766545
moving_average_motion_002,moving_average,motion,2,amp_max,0.020790076334117898,0.03755727260403088,0.047470143546756716,0.030137063800497146,1.4511272528577872,0.9089827655322984,0.11267072641748442,1,0.0303504643306458,0.0101646553470468,30.0,15,1.7618223940817848,1.2815970494570108,1.2969654080573754,3.8089854766126
moving_average_motion_002,moving_average,motion,2,phase_std,0.01473164433237365,0.275565021119858,0.35697803047822524,0.5747783566531668,0.5608600283065277,-1.5729887616340374,6.371665712205635,0,0.0,0.0,38.0,19,94.8727385992145,1.1871139694828596,1.2902952271170953,3.5730707531078307
