Signal,STD,RMS,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,SpectralEntropy,SpectralCentroid,Bandwidth,FFTEnergy
amp_mean,0.1268070721931055,0.14962734101085354,5.731415341562434,2,0.3073882258030537,0.2826465633487844,23.4375,4.34790226466376,0.41834686997323534,0.7533171144320759,526.9096639379579
amp_std,0.01629243940593638,0.018420585453178512,0.08686539992009007,2,0.042981839396872,0.042981839396872,23.4375,4.1297165859212654,0.3507894479554375,0.5463399000313781,8.698050822220594
amp_max,0.10214440547049972,0.13099678970670087,4.393000681846172,5,0.22139668204652532,0.09332119395947484,39.453125,3.743537259160388,0.2985963789228715,0.5882720925809446,341.8840889867616
phase_std,0.17886833710775435,0.21112569407198922,11.410959026529072,2,0.4766717315070795,0.3307909416154533,21.875,4.946055822227304,0.6596832161661343,1.0334165783816396,1048.3661112261645
i_mean,0.01618159143417373,0.024832485836404638,0.15786300232070066,7,0.03853530881481719,0.016693780707218702,53.90625,5.41751531374431,0.8612785233487416,1.186185499812268,8.57986812298598
q_mean,0.0350217273432031,0.05708989153726434,0.8343694632285712,6,0.07921127018835145,0.05460863187559243,44.921875,4.763639985161719,0.5234769464041322,0.8602066982762907,40.19052070785582
amp_mean,0.1281234879759401,0.15286082843833712,5.981806814938811,2,0.3183725199567195,0.28661177958950346,31.25,4.152607701118837,0.35977202517114937,0.638646132222883,537.9069773962362
amp_std,0.019135753212123,0.022579483016298908,0.13051726164053268,2,0.05353814622252285,0.05353814622252285,24.21875,3.8508771588132427,0.26526342233889,0.2878885676776924,11.998889604874599
amp_max,0.1393130197403478,0.2146828636843349,11.798715381684922,5,0.3425771075533664,0.233121488221949,42.96875,3.9106425097440445,0.28176552506424607,0.3175412884050318,635.9651919717403
phase_std,0.0770114789786969,0.09824526602281841,2.4709458677489557,3,0.15454595864428874,0.12674637668029143,27.34375,4.451945077345302,0.44576153789317946,0.780980508682372,194.33903950908189
i_mean,0.015842438421383147,0.028671977506587065,0.21045306729938806,6,0.04340429186657783,0.022222635616738363,45.3125,4.345572844065716,0.4085508015053925,0.6950593147295921,8.224197214663624
q_mean,0.03158375804064194,0.05965828638504524,0.911132450406419,5,0.08807716732852064,0.05576242378482592,38.28125,4.165022314720268,0.3179400670909644,0.3689948989819787,32.68718591764089
amp_mean,0.045813524625403494,0.05536517545543115,0.7847174792219329,1,0.1547935619539948,0.0686674214340345,22.65625,3.853016442322591,0.29828354081257075,0.5558415115633427,68.7760574925097
amp_std,0.04361688349644771,0.04656095995771779,0.5549882859991551,1,0.0514604320116748,0.0511601140295712,16.796875,6.068690019309318,1.1474435205938915,1.3041960867111044,62.33195185176468
amp_max,0.17566493744114792,0.24572545853400343,15.457536248767036,3,0.4684010905044949,0.4560748978062749,37.109375,3.9755668005170848,0.2902086061282951,0.39456811316321266,1011.1604310995282
phase_std,0.07921706922930484,0.09564078517585213,2.341672905997695,3,0.21378911523823305,0.11841734090615723,28.125,5.695506373128061,0.9959009081772102,1.2643167487830442,205.620706163672
