Signal,STD,RMS,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,SpectralEntropy,SpectralCentroid,Bandwidth,FFTEnergy
amp_mean,0.24286413686270414,0.37032712348516145,35.10839766753127,6,0.6284082882944645,0.25797209267955673,37.5,5.4292929039335975,0.8552867985852527,1.1797146521336017,1932.6951640638379
amp_std,0.14909716388192007,0.30158045522582244,23.283397369398863,6,0.4435452561042181,0.2890632575697459,51.171875,5.0915320409709866,0.6663806193299654,0.9575537476090261,728.4268801833094
amp_max,0.17819441575860995,0.390776000519992,39.0927059410946,11,0.4872110526111238,0.1654869752560829,56.640625,5.397997817600433,0.8292029718544135,1.1340901810091508,1040.4668333579489
phase_std,0.28564646401907146,0.4762032568658871,58.05300271351758,6,0.6925587359019,0.42460719008298026,46.484375,4.38148360971259,0.4020243615708123,0.6565663763962231,2673.66733008121
i_mean,0.22670037080318686,0.3581739222596115,32.84187099822955,7,0.5152972666179211,0.29262841787370236,37.109375,4.119342099199299,0.33206094474008685,0.513278109070424,1684.0469857863654
q_mean,0.18077128793274858,0.3419020946049508,29.925642827584696,9,0.5172876677395598,0.12832879680314688,45.3125,4.350281408188834,0.42802911893732365,0.7332747073060802,1070.8004996502061
amp_mean,0.16847766939341538,0.31805545711833344,25.89677409350452,5,0.4840932897446306,0.23322726417014789,34.765625,5.216765441302838,0.7633200341734991,1.1159697810880556,930.0950465088273
amp_std,0.11653944207989643,0.26088385364186817,17.42345858330411,5,0.3793709353293528,0.21218057049257594,34.765625,4.9487655439747495,0.6107672592325715,0.8935725244898971,445.03459376521636
amp_max,0.15691193735133396,0.4106977575163096,43.180197895404916,11,0.5231603621873873,0.1500634339489536,53.515625,4.375509075150063,0.35947003428045293,0.467288238904157,806.7925026383373
phase_std,0.2868493087721892,0.43431086832773214,48.2882381689827,5,0.6300253057534398,0.36307704472695845,39.0625,5.483390230149793,0.8783027582293822,1.1854101558742214,2696.1500063679023
i_mean,0.14245026472771635,0.24988685867115365,15.985521186953504,8,0.3597462012163728,0.16706978479656792,47.265625,4.6889133501868745,0.5114023191405541,0.7966107939328729,664.928623204765
q_mean,0.10220816876492832,0.15726333918327984,6.331330009875282,8,0.2039391498519019,0.1166600487751628,46.875,5.03498566460185,0.6071366216491649,0.915816192315719,342.30968561469825
amp_mean,0.18009108799301177,0.3537974397766373,32.04419286848085,4,0.6259597889770397,0.3342745825797253,33.59375,4.640749256444645,0.4785503038922782,0.7800719766117183,1062.7556739500242
amp_std,0.20588791676919124,0.33532901416099786,28.7860602209758,6,0.42160756330634297,0.2315180834838745,36.328125,4.4129004549197335,0.4735977715546685,0.8304213048273867,1389.0267203628819
amp_max,0.18500647022625966,0.348563120649616,31.10303976371168,8,0.4944041993328172,0.1737976285627362,46.484375,4.733960293652596,0.5636743694789226,0.9055621555494637,1121.5592448129112
phase_std,0.1843978890509623,0.25996050394010317,17.30034268385085,6,0.4064123273692461,0.19188200298913374,39.84375,4.299411988870873,0.4065038944358238,0.6983181233359422,1114.1962161986617
i_mean,0.10897323279577201,0.17262501259262314,7.628645112986444,10,0.2541536287053329,0.1224328142647815,39.453125,4.818982347447113,0.5300592484894691,0.8216155441225178,389.12458047355165
q_mean,0.09643436993907888,0.1526840506057524,5.967979343201271,7,0.2172650821885854,0.10177199977184238,46.875,4.832645830076242,0.6035671156193464,0.9601962160056289,304.7270197409889
amp_mean,0.16254784477073578,0.2877874943416221,21.202340326253868,8,0.3561434060437244,0.08300551871276793,42.1875,5.465331269268432,0.9116500957307766,1.226351438304377,865.7613622925145
amp_std,0.216236060604606,0.37213592176858656,35.45219693326223,7,0.48606238445253547,0.26269638671927215,44.140625,4.7644220986259,0.5961721862561397,0.9654948771211492,1532.1593404142523
amp_max,0.2560289300488846,0.38069109606484436,37.10098191950145,7,0.5459266501084283,0.25351416580080127,39.453125,4.37289431276109,0.4029897810239012,0.6863585820829156,2147.967084630752
phase_std,0.14006752279754114,0.2279262230893584,13.299292971975673,5,0.37768000144687547,0.2078465694777524,41.015625,4.590161346974487,0.48642059331131454,0.8130529258353371,642.8702424283556
i_mean,0.11498994235202917,0.1838809005445891,8.655919509782802,6,0.2540172518073594,0.1643331979752012,47.65625,4.828187954287185,0.5478127650816401,0.8630234103697619,433.2792861434565
q_mean,0.07751957019931396,0.16898586613298472,7.310393075895048,11,0.2063807665830135,0.07969004728551878,49.609375,5.034947224269336,0.6704656239750593,0.9735164170501446,196.91068319495903
amp_mean,0.15163434052513894,0.27445530894028064,19.28338345100925,9,0.3515821467329052,0.06252478898282193,51.953125,4.245762238788076,0.43389423972280033,0.7582734869129818,753.4331585434261
amp_std,0.1581945828911873,0.2491637125961642,15.893134252724202,8,0.3745263448906132,0.14848362957353922,48.4375,4.5718194352385755,0.5318797987158707,0.903381041486535,820.0341265697377
amp_max,0.25066546174304133,0.41123838525988815,43.293954434857014,9,0.5232670410601875,0.21033444083411532,40.625,4.689063711041417,0.5180107358339722,0.8636015346116068,2058.9091658819134
phase_std,0.16278493379194184,0.2588206296647645,17.14895829505668,6,0.4362618233868547,0.05426663703828285,44.53125,4.089580011339374,0.3869557900199772,0.7111145493555099,868.3163316854823
i_mean,0.10932306799758378,0.1835588298473789,8.625624067824383,7,0.24267259531789082,0.14225944721677272,52.734375,4.385832183628248,0.3839670562515592,0.5890986051793642,391.62778429020415
q_mean,0.13009489567757476,0.21778575972608727,12.142243107704068,7,0.3056652006402903,0.11432013223385404,39.0625,4.233953717562368,0.3416474078642615,0.5275121104185139,554.5879679331713
amp_mean,0.1804317237180682,0.3427373788235776,30.072041175771272,9,0.45921976830111244,0.10702714520546933,42.578125,5.810646398925776,1.036081019345981,1.2666857491294954,1066.716835711526
amp_std,0.10272711045537253,0.1542705584174483,6.09264772977442,9,0.2158211693477074,0.11092105931330748,47.265625,5.168459923870714,0.7530130806411282,1.0908535193618498,345.790636816975
