time_s,label,amp_mean,amp_std,amp_max,phase_std,i_mean,q_mean
0.0,0,0,0,0,0,1,0
0.1,0,0,0,0,0,1,0
0.2,0,0,0,0,0,1,0
0.3,0,0,0,0,0,1,0
0.4,0,0,0,0,0,1,0
0.5,0,0,0,0,0,1,0
0.6000000000000001,0,0,0,0,0,1,0
0.7000000000000001,0,0,0,0,0,1,0
0.8,0,0,0,0,0,1,0
0.9,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0
1.2000000000000002,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0
1.7000000000000002,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0,0
1.9,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0
2.3000000000000003,0,0,0,0,0,0,0
2.4000000000000004,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0
2.6,0,0,0,0,0,0,0
2.7,0,0,0,0,0,0,0
2.8000000000000003,0,0,0,0,0,0,0
2.9000000000000004,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,0
3.1,0,0,0,0,0,0,0
3.2,0,0,0,0,0,0,0
3.3000000000000003,0,0,0,0,0,0,0
3.4000000000000004,0,0,0,0,1,0,1
3.5,0,0,0,0,1,0,1
3.6,0,0,0,0,1,0,1
3.7,0,0,0,0,1,0,1
3.8,0,0,0,0,0,0,1
3.9,0,0,0,0,0,0,1
4.0,0,0,0,0,0,0,1
4.1000000000000005,0,0,0,0,0,0,1
4.2,0,0,0,0,1,0,1
4.3,0,0,0,0,1,0,1
4.4,0,0,0,0,1,0,1
4.5,0,0,0,0,1,0,1
4.6000000000000005,0,0,0,0,1,0,1
4.7,0,0,0,0,1,0,1
4.800000000000001,0,0,0,0,1,0,1
4.9,0,0,0,0,1,0,1
5.0,0,0,0,0,1,0,1
5.1000000000000005,0,0,0,0,1,0,1
5.2,0,0,0,0,1,0,1
5.300000000000001,0,0,0,0,1,0,1
5.4,0,0,0,0,1,0,1
5.5,0,0,0,0,1,0,1
5.6000000000000005,0,0,0,0,1,0,1
5.7,0,0,0,0,1,0,1
5.800000000000001,0,0,0,0,1,0,1
5.9,0,0,0,0,1,0,0
6.0,0,0,0,0,1,0,0
6.1000000000000005,0,1,0,0,1,0,0
6.2,0,1,0,0,1,0,0
6.300000000000001,0,0,0,0,1,0,0
6.4,0,0,0,0,1,0,0
6.5,0,0,0,0,1,0,0
6.6000000000000005,0,0,0,0,1,0,1
6.7,0,0,0,0,1,0,1
6.800000000000001,0,0,0,0,1,0,1
6.9,0,0,0,0,1,0,1
7.0,0,1,0,0,1,0,1
7.1000000000000005,0,1,0,0,1,0,1
7.2,0,1,0,0,1,0,1
7.300000000000001,0,1,0,0,1,0,1
7.4,0,1,0,0,1,0,1
7.5,0,1,0,0,1,0,1
7.6,0,1,0,0,1,0,1
7.7,0,1,0,0,1,0,1
7.800000000000001,0,1,0,0,1,0,1
7.9,0,1,0,0,1,0,1
8.0,0,1,0,0,1,0,1
8.1,0,1,0,0,1,0,1
8.200000000000001,0,1,0,0,1,0,1
8.3,0,0,0,0,0,0,1
8.4,0,0,0,0,0,0,1
8.5,0,0,0,0,0,0,1
8.6,0,0,0,0,0,1,1
8.700000000000001,0,0,0,0,0,1,1
8.8,0,0,0,0,0,1,1
8.9,0,0,0,0,0,1,1
9.0,0,0,0,0,0,1,1
9.1,0,0,0,0,0,1,1
9.2,0,0,0,0,0,1,1
9.3,0,0,0,0,0,1,1
9.4,0,0,0,0,0,1,1
9.5,0,0,0,0,0,1,1
9.6,0,0,0,0,0,1,1
9.7,0,0,0,0,0,1,1
9.8,0,0,0,0,0,1,1
9.9,0,0,0,0,0,1,1
10.0,0,0,0,0,0,1,1
10.1,0,0,0,0,0,1,1
10.2,0,0,0,0,0,1,1
10.3,0,0,0,0,0,1,1
10.4,0,0,0,0,0,1,1
10.5,0,0,0,0,0,1,1
10.6,0,0,0,0,1,1,1
10.7,0,0,0,0,1,1,1
10.8,0,0,0,0,1,1,1
10.9,0,0,0,0,1,1,1
11.0,0,0,0,0,1,1,1
11.1,0,0,0,0,1,1,1
11.2,0,0,0,0,1,1,1
11.3,0,0,0,0,1,1,1
11.4,0,0,0,0,1,1,1
11.5,0,0,0,0,1,1,1
11.6,0,0,0,0,1,1,1
11.7,0,0,0,0,1,1,1
11.8,0,0,0,0,1,1,0
11.9,0,0,0,0,1,1,0
12.0,0,0,0,0,1,1,0
12.1,0,0,0,0,1,0,0
12.2,0,0,0,0,1,0,0
12.3,0,0,0,0,1,0,0
12.4,0,0,0,0,1,0,0
12.5,0,0,0,0,1,0,0
12.6,0,0,0,0,1,0,0
12.7,0,0,0,0,1,0,0
12.8,0,0,0,0,1,0,0
12.9,0,0,0,0,1,0,0
13.0,0,0,0,0,1,0,0
13.1,0,1,0,0,1,0,0
13.2,0,1,0,0,1,0,0
13.3,0,1,0,0,1,0,0
13.4,0,1,0,0,0,0,0
13.5,0,1,0,0,0,0,0
13.6,0,1,0,0,0,0,0
13.7,0,1,0,0,0,0,0
13.8,0,1,0,0,0,0,0
13.9,0,1,0,0,0,0,0
14.0,0,1,0,0,0,0,0
14.1,0,1,0,0,0,0,0
14.2,0,1,0,0,0,0,0
14.3,0,1,0,0,0,0,0
14.4,0,1,0,1,0,0,0
14.5,0,1,0,1,0,0,0
14.6,0,1,0,1,0,0,0
14.7,0,1,0,1,0,0,0
14.8,0,1,0,1,0,0,0
14.9,0,1,0,1,0,0,0
15.0,0,1,0,1,0,0,0
15.1,0,1,0,1,0,0,0
15.2,0,1,0,1,0,0,0
15.3,0,1,0,1,0,0,0
15.4,0,1,0,1,0,0,0
15.5,0,1,0,1,0,0,0
15.6,0,0,0,1,0,0,0
15.7,0,0,0,1,0,0,0
15.8,0,0,0,1,0,0,0
15.9,0,0,0,1,0,0,0
16.0,0,0,0,1,0,0,0
16.1,0,0,0,1,0,0,0
16.2,0,0,0,1,0,0,0
16.3,0,0,0,1,0,0,0
16.400000000000002,0,0,0,1,1,0,0
16.5,0,0,0,1,1,0,0
16.6,0,0,0,1,1,0,0
16.7,0,0,0,1,1,0,0
16.8,0,0,0,0,1,0,0
16.900000000000002,0,0,0,0,1,0,0
17.0,0,0,0,0,1,0,0
17.1,0,0,0,0,1,0,0
17.2,0,0,0,0,1,0,0
17.3,0,0,0,0,1,0,0
17.400000000000002,0,0,0,0,1,0,0
17.5,0,0,0,0,1,1,0
17.6,0,0,0,0,1,1,0
17.7,0,0,0,0,1,1,0
17.8,0,0,0,0,1,1,0
17.900000000000002,0,0,0,0,1,1,0
18.0,0,0,0,0,1,1,0
18.1,0,0,0,0,1,1,0
18.2,0,0,0,0,1,1,0
18.3,0,0,0,0,1,1,0
18.4,0,0,0,0,1,1,0
18.5,0,0,0,0,1,0,0
18.6,0,0,0,0,1,0,0
18.7,0,0,0,0,1,0,0
18.8,0,0,0,0,1,0,0
18.9,0,0,0,0,1,0,0
19.0,0,0,0,0,1,0,0
19.1,0,0,0,0,1,0,0
19.200000000000003,0,0,0,0,0,0,0
19.3,0,0,0,0,0,0,0
19.4,0,0,0,0,0,0,0
19.5,0,0,0,0,0,0,0
19.6,0,0,0,0,0,0,0
19.700000000000003,0,0,0,0,0,0,0
